participant_id,frame,t_l,m_s_cat,p_ll,m_s
17,delay,2,below_ip,1,41.48
17,delay,2,at_ip,1,41.82
17,delay,2,above_ip,1,42.160000000000004
17,delay,4,below_ip,0.25,41.14
17,delay,4,at_ip,0,41.82
17,delay,4,above_ip,0,42.5
17,delay,8,below_ip,0.5,40.11999999999999
17,delay,8,at_ip,0,41.13999999999999
17,delay,8,above_ip,0,42.16
17,delay,16,below_ip,0.75,37.06
17,delay,16,at_ip,0.5,38.42
17,delay,16,above_ip,0.25,39.78
17,delay,32,below_ip,0.75,33.32
17,delay,32,at_ip,1,35.02
17,delay,32,above_ip,1,36.720000000000006
17,delay,64,below_ip,1,23.46
17,delay,64,at_ip,1,25.5
17,delay,64,above_ip,1,27.54
17,delay,128,below_ip,1,19.720000000000002
17,delay,128,at_ip,1,22.1
17,delay,128,above_ip,1,24.48
17,date,2,below_ip,1,41.48
17,date,2,at_ip,1,41.82
17,date,2,above_ip,1,42.160000000000004
17,date,4,below_ip,0.5,41.14
17,date,4,at_ip,0.75,41.82
17,date,4,above_ip,0.25,42.5
17,date,8,below_ip,0.25,40.11999999999999
17,date,8,at_ip,0,41.13999999999999
17,date,8,above_ip,0.25,42.16
17,date,16,below_ip,1,37.06
17,date,16,at_ip,0.75,38.42
17,date,16,above_ip,1,39.78
17,date,32,below_ip,1,33.32
17,date,32,at_ip,1,35.02
17,date,32,above_ip,1,36.720000000000006
17,date,64,below_ip,1,23.46
17,date,64,at_ip,1,25.5
17,date,64,above_ip,1,27.54
17,date,128,below_ip,1,19.720000000000002
17,date,128,at_ip,1,22.1
17,date,128,above_ip,1,24.48
