participant_id,frame,t_l,m_s_cat,p_ll,m_s
86,neutral,2,below_ip,1,41.48
86,neutral,2,at_ip,1,41.82
86,neutral,2,above_ip,1,42.16
86,neutral,4,below_ip,1,41.14
86,neutral,4,at_ip,0.75,41.82
86,neutral,4,above_ip,0.3333333333333333,42.5
86,neutral,8,below_ip,1,40.8
86,neutral,8,at_ip,1,41.82
86,neutral,8,above_ip,0.5,42.84
86,neutral,16,below_ip,1,39.1
86,neutral,16,at_ip,1,40.46
86,neutral,16,above_ip,1,41.82
86,neutral,32,below_ip,1,38.76
86,neutral,32,at_ip,0.5,40.46
86,neutral,32,above_ip,0,42.16
86,neutral,64,below_ip,1,37.06
86,neutral,64,at_ip,1,39.1
86,neutral,64,above_ip,0.25,41.14
86,neutral,128,below_ip,0.75,35.36
86,neutral,128,at_ip,0,37.74
86,neutral,128,above_ip,0,40.12
86,defer,2,below_ip,1,41.48
86,defer,2,at_ip,1,41.82
86,defer,2,above_ip,1,42.16
86,defer,4,below_ip,1,41.14
86,defer,4,at_ip,1,41.82
86,defer,4,above_ip,1,42.5
86,defer,8,below_ip,1,40.8
86,defer,8,at_ip,1,41.82
86,defer,8,above_ip,0.6666666666666666,42.84
86,defer,16,below_ip,1,39.1
86,defer,16,at_ip,1,40.46
86,defer,16,above_ip,1,41.82
86,defer,32,below_ip,1,38.76
86,defer,32,at_ip,0.75,40.46
86,defer,32,above_ip,0.25,42.16
86,defer,64,below_ip,0.75,37.06
86,defer,64,at_ip,1,39.1
86,defer,64,above_ip,0.5,41.14
86,defer,128,below_ip,0.5,35.36
86,defer,128,at_ip,0,37.74
86,defer,128,above_ip,0.25,40.12
86,speedup,2,below_ip,1,41.48
86,speedup,2,at_ip,1,41.82
86,speedup,2,above_ip,1,42.16
86,speedup,4,below_ip,1,41.14
86,speedup,4,at_ip,1,41.82
86,speedup,4,above_ip,1,42.5
86,speedup,8,below_ip,1,40.8
86,speedup,8,at_ip,1,41.82
86,speedup,8,above_ip,0.75,42.84
86,speedup,16,below_ip,1,39.1
86,speedup,16,at_ip,1,40.46
86,speedup,16,above_ip,0.75,41.82
86,speedup,32,below_ip,1,38.76
86,speedup,32,at_ip,0.75,40.46
86,speedup,32,above_ip,0.5,42.16
86,speedup,64,below_ip,1,37.06
86,speedup,64,at_ip,0.75,39.1
86,speedup,64,above_ip,0.3333333333333333,41.14
86,speedup,128,below_ip,0,35.36
86,speedup,128,at_ip,0,37.74
86,speedup,128,above_ip,0,40.12
