participant_id,frame,t_l,m_s_cat,p_ll,m_s
27,delay,2,below_ip,1,37.4
27,delay,2,at_ip,1,37.74
27,delay,2,above_ip,1,38.080000000000005
27,delay,4,below_ip,1,38.42
27,delay,4,at_ip,0.6666666666666666,39.1
27,delay,4,above_ip,0.75,39.78
27,delay,8,below_ip,1,34.68
27,delay,8,at_ip,1,35.7
27,delay,8,above_ip,1,36.720000000000006
27,delay,16,below_ip,1,33.660000000000004
27,delay,16,at_ip,1,35.02
27,delay,16,above_ip,1,36.38
27,delay,32,below_ip,1,34
27,delay,32,at_ip,1,35.7
27,delay,32,above_ip,0,37.400000000000006
27,delay,64,below_ip,1,31.620000000000005
27,delay,64,at_ip,1,33.660000000000004
27,delay,64,above_ip,0.75,35.7
27,delay,128,below_ip,1,31.280000000000005
27,delay,128,at_ip,0.75,33.660000000000004
27,delay,128,above_ip,0,36.040000000000006
27,date,2,below_ip,1,37.4
27,date,2,at_ip,1,37.74
27,date,2,above_ip,0.75,38.080000000000005
27,date,4,below_ip,1,38.42
27,date,4,at_ip,1,39.1
27,date,4,above_ip,1,39.78
27,date,8,below_ip,1,34.68
27,date,8,at_ip,1,35.7
27,date,8,above_ip,1,36.720000000000006
27,date,16,below_ip,1,33.660000000000004
27,date,16,at_ip,1,35.02
27,date,16,above_ip,0.5,36.38
27,date,32,below_ip,1,34
27,date,32,at_ip,1,35.7
27,date,32,above_ip,0.75,37.400000000000006
27,date,64,below_ip,1,31.620000000000005
27,date,64,at_ip,0.75,33.660000000000004
27,date,64,above_ip,0.5,35.7
27,date,128,below_ip,0.25,31.280000000000005
27,date,128,at_ip,0,33.660000000000004
27,date,128,above_ip,0,36.040000000000006
