participant_id,frame,t_l,m_s_cat,p_ll,m_s
87,neutral,2,below_ip,1,42.16
87,neutral,2,at_ip,1,42.5
87,neutral,2,above_ip,1,42.84
87,neutral,4,below_ip,0.6666666666666666,42.5
87,neutral,4,at_ip,0.75,43.18
87,neutral,4,above_ip,0.25,43.35
87,neutral,8,below_ip,1,41.48
87,neutral,8,at_ip,0.5,42.5
87,neutral,8,above_ip,0.25,43.01
87,neutral,16,below_ip,1,39.78
87,neutral,16,at_ip,1,41.14
87,neutral,16,above_ip,0.5,42.5
87,neutral,32,below_ip,1,39.44
87,neutral,32,at_ip,1,41.14
87,neutral,32,above_ip,0.25,42.84
87,neutral,64,below_ip,1,38.42
87,neutral,64,at_ip,0.75,40.46
87,neutral,64,above_ip,0.25,42.5
87,neutral,128,below_ip,1,38.08
87,neutral,128,at_ip,1,40.46
87,neutral,128,above_ip,0.25,42.84
87,defer,2,below_ip,1,42.16
87,defer,2,at_ip,1,42.5
87,defer,2,above_ip,1,42.84
87,defer,4,below_ip,1,42.5
87,defer,4,at_ip,0.25,43.18
87,defer,4,above_ip,0,43.35
87,defer,8,below_ip,1,41.48
87,defer,8,at_ip,1,42.5
87,defer,8,above_ip,0.75,43.01
87,defer,16,below_ip,1,39.78
87,defer,16,at_ip,1,41.14
87,defer,16,above_ip,1,42.5
87,defer,32,below_ip,1,39.44
87,defer,32,at_ip,1,41.14
87,defer,32,above_ip,0.5,42.84
87,defer,64,below_ip,1,38.42
87,defer,64,at_ip,1,40.46
87,defer,64,above_ip,1,42.5
87,defer,128,below_ip,1,38.08
87,defer,128,at_ip,1,40.46
87,defer,128,above_ip,0,42.84
87,speedup,2,below_ip,1,42.16
87,speedup,2,at_ip,0.5,42.5
87,speedup,2,above_ip,1,42.84
87,speedup,4,below_ip,1,42.5
87,speedup,4,at_ip,0.25,43.18
87,speedup,4,above_ip,0.25,43.35
87,speedup,8,below_ip,1,41.48
87,speedup,8,at_ip,0.5,42.5
87,speedup,8,above_ip,1,43.01
87,speedup,16,below_ip,1,39.78
87,speedup,16,at_ip,1,41.14
87,speedup,16,above_ip,1,42.5
87,speedup,32,below_ip,1,39.44
87,speedup,32,at_ip,0.75,41.14
87,speedup,32,above_ip,1,42.84
87,speedup,64,below_ip,1,38.42
87,speedup,64,at_ip,1,40.46
87,speedup,64,above_ip,0.5,42.5
87,speedup,128,below_ip,1,38.08
87,speedup,128,at_ip,0.75,40.46
87,speedup,128,above_ip,0.25,42.84
