participant_id,percentile,neutral,defer,speedup
9,10%,1.9681259517205034,2.129948216079356,2.36371034590411
9,30%,2.4157795159859234,2.888221128177247,3.496175587992184
9,50%,2.925941749383128,3.7107877078560705,4.173659769479855
9,70%,3.564923482108861,4.682491186392144,4.751694582082564
9,90%,4.509281148054288,6.3145564093603745,6.286768613917957
11,10%,1.662770511193594,1.6785351778165933,1.7757539161129898
11,30%,2.0163503841999044,1.9056018651668636,2.09477279147377
11,50%,2.2554354334388336,2.0932038670980546,2.460413165808859
11,70%,2.397187935632246,2.43185579209603,2.970862955214397
11,90%,2.963229001206491,3.132930626404778,3.746816612972907
13,10%,1.647151174495957,1.7362812223211224,1.6382518349746533
13,30%,1.7534735274333797,2.005173371455021,1.940371387234336
13,50%,2.053829264070373,2.6105980106221978,2.3396129652846867
13,70%,2.284081804532616,3.2870430019371266,2.763160672147933
13,90%,2.9411383133185165,4.384253148130666,3.3606653838760394
15,10%,1.815147261935317,2.244461030176649,1.8955045079528192
15,30%,2.0115436881849744,3.3258833516598543,2.2682049111977904
15,50%,2.3164720375202705,3.81947547995469,2.57228222652725
15,70%,2.832534560265367,4.798614340634526,3.172947224223662
15,90%,4.092233770285339,6.131177146217011,4.442607235830383
19,10%,1.76850245946207,1.9050365420225717,1.8038701788182152
19,30%,2.1345640878020276,2.3478999645689327,2.0969585956245282
19,50%,2.467744150362705,2.939851606857701,2.342469047411214
19,70%,2.948086352775499,3.537854238463114,2.6870461798998804
19,90%,4.357385059817173,6.267120559234173,3.951301461363073
21,10%,1.8357645297095586,2.074341639325212,2.2868436370754353
21,30%,2.2678806897944015,2.5342888488830795,2.7536109952106926
21,50%,2.624860438407268,2.837539176513019,3.209168991237675
21,70%,3.1837578800274047,3.265019472470158,3.686178375453892
21,90%,3.96561356288712,4.013401551872448,4.860306982730981
24,10%,1.9210839446124737,1.850971715804917,1.8813896787469275
24,30%,2.3804905228011193,2.264069563454541,2.4423963627414196
24,50%,2.7063790118627367,2.7185408716650272,2.8826762734897784
24,70%,3.164389437992213,3.1268676093699472,3.6166051732507185
24,90%,3.8346718970602525,4.257858519571528,4.973264108930743
26,10%,1.7959388958679483,1.9875276441918686,1.8415274981547554
26,30%,2.475245875426117,2.7248742573421625,2.53320366360349
26,50%,2.788127570234792,3.1280238837316574,3.0454264309391874
26,70%,3.4790558955224693,3.776389541267053,4.264612070486327
26,90%,5.037059547629907,4.990178984173326,6.361359954041836
32,10%,1.957289685460637,2.117457826318605,2.2844182267981523
32,30%,2.54662101925278,3.0522166923643455,3.3658717370435625
32,50%,3.147571015982976,3.531268408185497,4.274893040417737
32,70%,3.789211991938282,4.6605508052402,5.272899853674971
32,90%,4.667911403131439,6.499632983359881,6.7548120578612725
36,10%,1.752471398212947,2.1908374132195605,1.803310768240044
36,30%,2.163237949625909,2.8043802330132164,2.3041291272602393
36,50%,2.7684679168050934,3.3447076763222867,2.9391881589581317
36,70%,3.747462185918266,4.0034771554921464,3.7586902464223386
36,90%,6.1104605815780815,5.300781910726073,5.3206964767072344
37,10%,1.8182921091884054,2.077248171222709,1.7738593228339594
37,30%,2.1635124910744707,2.386309889176664,2.2644711066801393
37,50%,2.579774529486258,2.9056240728755256,2.5081493168108864
37,70%,3.07890036823801,3.6982592423676577,3.0281651168133976
37,90%,3.774742985197463,4.853496380232809,4.2643314637460215
41,10%,1.7158944540195078,2.0555499975405835,1.6882832161954866
41,30%,1.9451825507057947,2.585594752483667,2.2779444193311065
41,50%,2.2661499871010164,2.9898682602670306,2.5519471981151582
41,70%,2.615558894569767,3.4980251729446534,3.035784158977549
41,90%,3.1086568328872106,4.510691391143155,4.159865204657763
42,10%,1.6582177752890856,1.8390915025382129,1.9657877301837288
42,30%,1.928504386401619,2.319003740385233,2.26098441793074
42,50%,2.364725511368306,2.844392538332613,2.7113172502067755
42,70%,2.714079758101434,3.479087444035394,3.4336293583208315
42,90%,3.9809304257898477,4.820113083555771,4.6308111633352365
45,10%,2.0461651296827768,2.0279808375645643,2.2215521054788043
45,30%,2.375502975497511,2.3308245103393346,2.676898214401353
45,50%,2.6727223801071887,2.6454189045753083,2.9516725096782466
45,70%,2.961492464946332,3.2913068661204763,3.47467229531494
45,90%,3.8480895324196354,4.790241441881699,4.037726777342959
46,10%,2.0422321335227025,1.9463882665821075,1.873883657503029
46,30%,2.347279145106313,2.3390013059590276,2.307363799093764
46,50%,2.7902830068501316,2.902024920691474,2.901655138656679
46,70%,3.261642787173969,3.4854329973060887,3.9186733230772006
46,90%,4.424973840039456,6.085649764062145,5.402619181825685
47,10%,1.6546760857401752,1.7221457575124077,1.736253877874515
47,30%,1.9203706812473682,1.9702312281460763,2.1009066585645995
47,50%,2.1027376275042116,2.3238409535879327,2.4834142455692927
47,70%,2.2971271290654838,2.763686389522263,2.7603443243031505
47,90%,3.230595844270283,3.630043075690992,3.575705895069586
49,10%,1.5930653819919824,1.6033455571297965,1.651123859164727
49,30%,1.8458484389950172,1.7591969252800481,1.840376896523594
49,50%,2.068841491725834,2.0217651010934787,2.22071516644246
49,70%,2.342773148617198,2.488813944284993,2.6048893751267315
49,90%,2.8793933290977303,3.4959610890895423,3.529940627033284
51,10%,1.6377695916198718,1.73149333694455,1.6913245973733866
51,30%,1.8061291181675188,2.0707589670266318,1.8640382688216048
51,50%,2.213386866973451,2.4585042489215994,2.157918959368544
51,70%,2.6763786440642434,2.8340733732915395,2.5069666578703615
51,90%,3.52263258858693,3.661127656336976,3.3332101452440837
55,10%,1.9894057709380832,1.7978143680620633,1.9681528344556682
55,30%,2.6918519919902795,2.3874988862186,2.9383395171989832
55,50%,3.2491161855650716,2.7197343491061474,3.8248210660731274
55,70%,4.0206565168800354,3.4472387133269873,5.172601186227257
55,90%,5.293552813399765,4.480110371396405,7.223187779003821
58,10%,1.6503976658532338,1.631689794063277,1.6211295977547706
58,30%,1.7734320053496049,2.0829623863392044,1.917315251891705
58,50%,2.0410341408714885,2.4423600742811686,2.278143854706286
58,70%,2.205453754690825,2.884661854333535,2.7325754504883664
58,90%,2.6594171566313896,3.8413187051373843,3.515133748920926
