participant_id,delay,date,diff,direction
1,0.8170731707317073,0.9523809523809523,0.13530778164924506,compatible
6,0.9518072289156626,0.8095238095238095,-0.14228341939185307,incompatible
14,0.11290322580645161,0.2682926829268293,0.15538945712037766,compatible
17,0.6626506024096386,0.7976190476190477,0.1349684452094091,compatible
20,0.5903614457831325,0.6626506024096386,0.07228915662650603,compatible
23,0.30120481927710846,0.4578313253012048,0.15662650602409633,compatible
25,0.46153846153846156,0.6829268292682927,0.22138836772983117,compatible
27,0.8518518518518519,0.7857142857142857,-0.06613756613756616,incompatible
33,0.6962025316455697,0.8902439024390244,0.19404137079345474,compatible
35,0.3855421686746988,0.2857142857142857,-0.09982788296041312,incompatible
38,0.8857142857142857,0.7560975609756098,-0.12961672473867591,incompatible
43,0.4578313253012048,0.6626506024096386,0.20481927710843378,compatible
50,0.6746987951807228,0.6309523809523809,-0.04374641422834191,incompatible
52,0.6385542168674698,0.7261904761904762,0.08763625932300634,compatible
56,0.4634146341463415,0.6144578313253012,0.1510431971789597,compatible
62,0.6144578313253012,0.6746987951807228,0.06024096385542166,compatible
65,0.6753246753246753,0.8765432098765432,0.2012185345518679,compatible
68,0.6341463414634146,0.6428571428571429,0.008710801393728262,compatible
70,0.8809523809523809,0.9523809523809523,0.0714285714285714,compatible
74,0.6986301369863014,0.717948717948718,0.019318580962416565,compatible
75,0.76,0.8148148148148148,0.05481481481481476,compatible
77,0.7804878048780488,0.9367088607594937,0.15622105588144486,compatible
79,0.9047619047619048,0.8928571428571429,-0.011904761904761862,incompatible
81,0.573170731707317,0.7469879518072289,0.17381722009991185,compatible
82,0.47619047619047616,0.7951807228915663,0.3189902467010901,compatible
83,0.6153846153846154,0.9518072289156626,0.3364226135310472,compatible
84,0.37349397590361444,0.4523809523809524,0.07888697647733794,compatible
85,0.325,0.7738095238095238,0.4488095238095238,compatible
89,0.09876543209876543,0.31645569620253167,0.21769026410376624,compatible
91,0.881578947368421,0.9746835443037974,0.09310459693537643,compatible
93,0.8571428571428571,0.8095238095238095,-0.04761904761904756,incompatible
