participant_id,percentile,delay,date
1,10%,2.1415196647455104,2.731000081284765
1,30%,3.3880875189733164,4.498769883727073
1,50%,4.379438674087396,5.320518355984859
1,70%,5.659389068460177,6.266175854877201
1,90%,7.2508271419224455,7.443693151305842
6,10%,2.2106792733136897,2.00063932418725
6,30%,3.296056977753869,2.5760611242758387
6,50%,4.72962087216456,3.2328141924535885
6,70%,5.737799607780653,4.148402357798477
6,90%,6.645378739926855,5.304165187309081
14,10%,1.7196761602153856,2.173947285054419
14,30%,1.9103864537933986,3.144765739778995
14,50%,2.7199293788189607,4.3520460018944505
14,70%,3.464003110445992,5.3456208474191955
14,90%,5.162182517073052,7.0049019763739135
17,10%,2.3960034348911905,3.0843648168734035
17,30%,3.0134401161253663,3.770642029155624
17,50%,3.842260084647478,4.440631328548989
17,70%,5.094579512275686,5.1577079309927285
17,90%,7.314167165024537,6.288944260154405
20,10%,2.3738567633630736,3.279158972138612
20,30%,2.970667203798075,4.345882254503158
20,50%,4.075528783692789,5.57916999812187
20,70%,4.971279028697609,6.165906969132266
20,90%,6.38315864839642,7.348926188948462
23,10%,1.8151724543880845,1.8029861377333873
23,30%,2.1377344887274377,2.156648551624676
23,50%,2.383579125536926,2.5265789962140843
23,70%,2.680234078914509,3.1691289370217417
23,90%,3.3003639465699957,3.943064851267991
25,10%,1.823498291967553,1.9280924330629206
25,30%,2.1047418002723135,2.524455001483875
25,50%,2.3924519318043167,2.729932716969415
25,70%,2.9214593936962046,3.2484423849418818
25,90%,3.4494851909865245,4.5352967123191785
27,10%,1.9106888435489964,2.1439282311872376
27,30%,2.3601027361764864,2.8596379146398245
27,50%,2.7049052449365263,3.425575536886754
27,70%,3.3345714214992768,4.104359487978945
27,90%,4.088642385442654,5.090502932531308
33,10%,1.98194521879268,2.3529591637319758
33,30%,3.7795506445167115,3.5814576708244203
33,50%,4.732321363249866,4.66666220578918
33,70%,5.807677581761162,6.238112498242662
33,90%,8.30164748199386,9.100586700074018
35,10%,2.573069834976195,2.9413083985928097
35,30%,3.634229803843482,4.062670512484692
35,50%,4.337218901608139,5.109061642900997
35,70%,4.933585135580506,6.446584479300872
35,90%,6.473821537404728,8.579356376878424
38,10%,1.5938116264620477,1.8118437585914307
38,30%,2.1729613422922736,2.3720223394984714
38,50%,2.95694181563249,3.112765078655684
38,70%,3.8543517502763276,4.339151259499884
38,90%,5.100006212145036,6.28057406529465
43,10%,2.014131471321798,2.2336803690785927
43,30%,2.471007678018486,2.772899450076693
43,50%,2.8287846112548323,3.3302959879274567
43,70%,3.489260146541619,4.1132336772162486
43,90%,4.030180508662215,5.530032479375404
50,10%,1.9148714811843093,2.121462975233226
50,30%,2.2834721145358343,2.7230846252277843
50,50%,2.716677465570683,3.48181548030243
50,70%,3.067608213492349,4.11004840671685
50,90%,3.823050667350253,5.874297681006102
52,10%,1.7921211690056225,2.2037623238378727
52,30%,2.2845751815777477,2.7828234235003038
52,50%,2.811036473083732,3.2868538717229967
52,70%,3.3387142037896407,4.745342861984318
52,90%,4.73819615704524,5.811499624346835
56,10%,2.967055799294485,2.7646412550826427
56,30%,4.616792935107606,3.5640837976732653
56,50%,5.603201384531076,5.046706844445907
56,70%,6.731173518112428,6.983040516574874
56,90%,8.636336670441507,8.766436672611054
62,10%,2.0750879497492862,1.8499243102287437
62,30%,2.662757765797869,2.1007627785733347
62,50%,3.0010403374744783,2.5370882447568874
62,70%,3.470661435118382,3.0022787223009804
62,90%,4.246031975516962,3.8098103776519565
65,10%,1.8986565771934694,1.814649358690076
65,30%,2.291720176601666,2.209556174449972
65,50%,2.666843383194646,2.6662489770060347
65,70%,3.1999306063655233,3.313529458722769
65,90%,4.376206380338409,4.445698768595321
68,10%,1.7160936533905442,2.043737309018843
68,30%,2.353930302397066,2.655958825172092
68,50%,2.946299567146525,3.3513699796867513
68,70%,3.599221651638163,4.01490369421931
