participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu,beta,kappa1,kappa2,kappa3,w,theta_star,t0
58,DFT_CRT,time_scaling,wide,DEoptimR,1,2.0913494377583266,1,1.9376714596617968,1,6.490711553487927,9.696891973726451,0.609260487232334,2.2361733585502948,0.6059237285517157
58,DFT_CRT,time_scaling,wide,DEoptimR,2,2.6269227583003634,1,0.4685313277943901,1,9.094518988858908,9.997977459570393,0.5322032539444944,2.4852003846713338,0.23816287652546775
58,DFT_CRT,time_scaling,wide,DEoptimR,3,2.6269227583003634,1,0.4685313277943901,1,9.094518988858908,9.997977459570393,0.5322032539444944,2.4852003846713338,0.23816287652546775
58,DFT_CRT,time_scaling,wide,DEoptimR,4,2.6269227583003634,1,0.4685313277943901,1,9.094518988858908,9.997977459570393,0.5322032539444944,2.4852003846713338,0.23816287652546775
58,DFT_CRT,time_scaling,wide,DEoptimR,5,2.6269227583003634,1,0.4685313277943901,1,9.094518988858908,9.997977459570393,0.5322032539444944,2.4852003846713338,0.23816287652546775
58,DFT_CRT,time_scaling,wide,DEoptimR,6,2.6269227583003634,1,0.4685313277943901,1,9.094518988858908,9.997977459570393,0.5322032539444944,2.4852003846713338,0.23816287652546775
58,DFT_CRT,time_scaling,wide,DEoptimR,7,2.6269227583003634,1,0.4685313277943901,1,9.094518988858908,9.997977459570393,0.5322032539444944,2.4852003846713338,0.23816287652546775
58,DFT_CRT,time_scaling,wide,DEoptimR,8,2.6269227583003634,1,0.4685313277943901,1,9.094518988858908,9.997977459570393,0.5322032539444944,2.4852003846713338,0.23816287652546775
58,DFT_CRT,time_scaling,wide,DEoptimR,9,2.6269227583003634,1,0.4685313277943901,1,9.094518988858908,9.997977459570393,0.5322032539444944,2.4852003846713338,0.23816287652546775
58,DFT_CRT,time_scaling,wide,DEoptimR,10,2.6269227583003634,1,0.4685313277943901,1,9.094518988858908,9.997977459570393,0.5322032539444944,2.4852003846713338,0.23816287652546775
58,DFT_CRT,time_scaling,wide,DEoptimR,11,1.685726532642492,1,0.4284877810242852,1,5.021025988266459,6.257626283039238,0.44257254191940026,4.807993950736407,0.21406810271761834
58,DFT_CRT,time_scaling,wide,DEoptimR,12,1.685726532642492,1,0.4284877810242852,1,5.021025988266459,6.257626283039238,0.44257254191940026,4.807993950736407,0.21406810271761834
58,DFT_CRT,time_scaling,wide,DEoptimR,13,1.5031815515253273,1,0.08791772870867343,1,3.5278346812390335,9.956786914844997,0.38266008603748325,3.7189591739068257,0.22767640045014703
58,DFT_CRT,time_scaling,wide,DEoptimR,14,1.5031815515253273,1,0.08791772870867343,1,3.5278346812390335,9.956786914844997,0.38266008603748325,3.7189591739068257,0.22767640045014703
58,DFT_CRT,time_scaling,wide,DEoptimR,15,2.9885165822348916,1,1.2942252785972015,1,5.631565409934004,5.351306449338761,0.3163726740558256,3.1558593509422277,0.6605417850120556
58,DFT_CRT,time_scaling,wide,DEoptimR,16,2.9885165822348916,1,1.2942252785972015,1,5.631565409934004,5.351306449338761,0.3163726740558256,3.1558593509422277,0.6605417850120556
58,DFT_CRT,time_scaling,wide,DEoptimR,17,2.84009075280159,1,0.2765124626668286,1,2.3247942197812925,4.212642606407556,0.24588722743028335,2.411731165711233,1.0261310141618756
58,DFT_CRT,time_scaling,wide,DEoptimR,18,2.84009075280159,1,0.2765124626668286,1,2.3247942197812925,4.212642606407556,0.24588722743028335,2.411731165711233,1.0261310141618756
58,DFT_CRT,time_scaling,wide,DEoptimR,19,2.094928748221169,1,0.7978613931302071,1,5.75187538920676,8.255130149109615,0.31000294399138034,2.9823986106834584,1.0549213891402567
58,DFT_CRT,time_scaling,wide,DEoptimR,20,2.094928748221169,1,0.7978613931302071,1,5.75187538920676,8.255130149109615,0.31000294399138034,2.9823986106834584,1.0549213891402567
58,DFT_CRT,time_scaling,wide,DEoptimR,21,2.094928748221169,1,0.7978613931302071,1,5.75187538920676,8.255130149109615,0.31000294399138034,2.9823986106834584,1.0549213891402567
58,DFT_CRT,time_scaling,wide,DEoptimR,22,2.094928748221169,1,0.7978613931302071,1,5.75187538920676,8.255130149109615,0.31000294399138034,2.9823986106834584,1.0549213891402567
58,DFT_CRT,time_scaling,wide,DEoptimR,23,2.094928748221169,1,0.7978613931302071,1,5.75187538920676,8.255130149109615,0.31000294399138034,2.9823986106834584,1.0549213891402567
58,DFT_CRT,time_scaling,wide,DEoptimR,24,2.094928748221169,1,0.7978613931302071,1,5.75187538920676,8.255130149109615,0.31000294399138034,2.9823986106834584,1.0549213891402567
58,DFT_CRT,time_scaling,wide,DEoptimR,25,2.094928748221169,1,0.7978613931302071,1,5.75187538920676,8.255130149109615,0.31000294399138034,2.9823986106834584,1.0549213891402567
58,DFT_CRT,time_scaling,wide,DEoptimR,26,2.314317897842927,1,0.6529249703302752,1,3.7880524066201797,8.548293101215217,0.2618418417782399,2.2945341921714455,1.1131761481275746
58,DFT_CRT,time_scaling,wide,DEoptimR,27,2.407184372002884,1,0.5464667427582655,1,0.3449624145013628,6.547578729762417,0.2582141397711731,2.3514180037958674,1.2657172366762681
58,DFT_CRT,time_scaling,wide,DEoptimR,28,2.407184372002884,1,0.5464667427582655,1,0.3449624145013628,6.547578729762417,0.2582141397711731,2.3514180037958674,1.2657172366762681
58,DFT_CRT,time_scaling,wide,DEoptimR,29,2.407184372002884,1,0.5464667427582655,1,0.3449624145013628,6.547578729762417,0.2582141397711731,2.3514180037958674,1.2657172366762681
