participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu,beta,kappa1,kappa2,w,a,t0
27,DDM,time_scaling,wide,DEoptim,1,0.054291463440749796,1,0.29178006861358885,1,2.0913984603248537,0.6027630971606401,5.82697916497686,1.003755179804284
27,DDM,time_scaling,wide,DEoptim,2,0.08959002162795514,1,0.3949225775501692,1,2.4865631945431232,0.9300499586972875,6.197237618581858,1.3094063292490319
27,DDM,time_scaling,wide,DEoptim,3,0.08959002162795514,1,0.3949225775501692,1,2.4865631945431232,0.9300499586972875,6.197237618581858,1.3094063292490319
27,DDM,time_scaling,wide,DEoptim,4,0.08959002162795514,1,0.3949225775501692,1,2.4865631945431232,0.9300499586972875,6.197237618581858,1.3094063292490319
27,DDM,time_scaling,wide,DEoptim,5,0.2690873211040162,1,0.36353940428970427,1,2.4865631945431232,0.9300499586972875,6.197237618581858,0.9809837436554952
27,DDM,time_scaling,wide,DEoptim,6,0.4951774143916555,1,0.43090281275380415,1,0.6714688492938876,0.8991758210985614,2.1840787509316857,1.2123203855055382
27,DDM,time_scaling,wide,DEoptim,7,0.5535531530868263,1,0.2948611527630874,1,0.31513273956254106,0.7305249710892603,3.5384069594158793,0.5489410765282812
27,DDM,time_scaling,wide,DEoptim,8,0.5535531530868263,1,0.2948611527630874,1,0.31513273956254106,0.7305249710892603,3.5384069594158793,0.5489410765282812
27,DDM,time_scaling,wide,DEoptim,9,0.5535531530868263,1,0.2948611527630874,1,0.31513273956254106,0.7305249710892603,3.5384069594158793,0.5489410765282812
27,DDM,time_scaling,wide,DEoptim,10,0.5535531530868263,1,0.2948611527630874,1,0.31513273956254106,0.7305249710892603,3.5384069594158793,0.5489410765282812
27,DDM,time_scaling,wide,DEoptim,11,0.4951774143916555,1,0.43090281275380415,1,0.6714688492938876,0.8991758210985614,3.61378937835098,1.2123203855055382
27,DDM,time_scaling,wide,DEoptim,12,0.4951774143916555,1,0.43090281275380415,1,0.6714688492938876,0.8991758210985614,3.61378937835098,1.2123203855055382
27,DDM,time_scaling,wide,DEoptim,13,0.4951774143916555,1,0.43090281275380415,1,0.6714688492938876,0.8991758210985614,3.61378937835098,1.2123203855055382
27,DDM,time_scaling,wide,DEoptim,14,0.4951774143916555,1,0.43090281275380415,1,0.6714688492938876,0.8991758210985614,3.61378937835098,1.2123203855055382
27,DDM,time_scaling,wide,DEoptim,15,0.4951774143916555,1,0.43090281275380415,1,0.6714688492938876,0.8991758210985614,3.61378937835098,1.2123203855055382
27,DDM,time_scaling,wide,DEoptim,16,0.4951774143916555,1,0.43090281275380415,1,0.6714688492938876,0.8991758210985614,3.61378937835098,1.2123203855055382
27,DDM,time_scaling,wide,DEoptim,17,0.585514692705901,1,0.6054126261698676,1,3.639242087364197,0.9620911846987339,2.971729678079829,1.2808174711261227
27,DDM,time_scaling,wide,DEoptim,18,0.585514692705901,1,0.6054126261698676,1,3.639242087364197,0.9620911846987339,2.971729678079829,1.2808174711261227
27,DDM,time_scaling,wide,DEoptim,19,0.585514692705901,1,0.4407854084307178,1,4.8185522694860214,0.9620911846987339,2.971729678079829,1.2808174711261227
27,DDM,time_scaling,wide,DEoptim,20,0.6609464391242952,1,0.4396589149356436,1,2.5903042870371995,0.9142392202496116,3.0790094989124857,1.2983458252578755
27,DDM,time_scaling,wide,DEoptim,21,0.6609464391242952,1,0.4396589149356436,1,2.5903042870371995,0.9142392202496116,3.0790094989124857,1.2983458252578755
27,DDM,time_scaling,wide,DEoptim,22,0.6609464391242952,1,0.4396589149356436,1,2.5903042870371995,0.9142392202496116,3.0790094989124857,1.2983458252578755
27,DDM,time_scaling,wide,DEoptim,23,0.6609464391242952,1,0.4396589149356436,1,2.5903042870371995,0.9142392202496116,3.0790094989124857,1.2983458252578755
27,DDM,time_scaling,wide,DEoptim,24,0.6609464391242952,1,0.4396589149356436,1,1.6579523304312884,0.8739156092636613,3.0790094989124857,1.2983458252578755
27,DDM,time_scaling,wide,DEoptim,25,0.6609464391242952,1,0.4396589149356436,1,1.6579523304312884,0.8739156092636613,3.0790094989124857,1.2983458252578755
