participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa,w,theta_star,t0
88,DFT_CRT,value_scaling,wide,DEoptimR,1,2.912642956695054,1,2.8565809233114123,1.1757280094300206,1,0.2953487258108326,3.8553602063263455,1.4888601315810854
88,DFT_CRT,value_scaling,wide,DEoptimR,2,1.8757568793045358,1,0.8763649666216224,1.7008598965872082,1,0.7318859807559149,5.0571601645508775,1.1900900717009792
88,DFT_CRT,value_scaling,wide,DEoptimR,3,1.8757568793045358,1,0.8763649666216224,1.7008598965872082,1,0.7318859807559149,5.0571601645508775,1.1900900717009792
88,DFT_CRT,value_scaling,wide,DEoptimR,4,1.8757568793045358,1,0.8763649666216224,1.7008598965872082,1,0.7318859807559149,5.0571601645508775,1.1900900717009792
88,DFT_CRT,value_scaling,wide,DEoptimR,5,1.8757568793045358,1,0.8763649666216224,1.7008598965872082,1,0.7318859807559149,5.0571601645508775,1.1333888855512178
88,DFT_CRT,value_scaling,wide,DEoptimR,6,1.8757568793045358,1,0.8763649666216224,1.7008598965872082,1,0.7318859807559149,5.0571601645508775,1.1333888855512178
88,DFT_CRT,value_scaling,wide,DEoptimR,7,1.8757568793045358,1,0.8763649666216224,1.7008598965872082,1,0.7318859807559149,5.0571601645508775,1.1333888855512178
88,DFT_CRT,value_scaling,wide,DEoptimR,8,2.469112633241163,1,1.210390678486493,0.3537785923740421,1,0.33835748016409006,1.6370840426830044,1.4084515653961456
88,DFT_CRT,value_scaling,wide,DEoptimR,9,2.469112633241163,1,1.210390678486493,0.3537785923740421,1,0.33835748016409006,1.6370840426830044,1.4084515653961456
88,DFT_CRT,value_scaling,wide,DEoptimR,10,2.469112633241163,1,1.210390678486493,0.3537785923740421,1,0.33835748016409006,1.6370840426830044,1.4084515653961456
88,DFT_CRT,value_scaling,wide,DEoptimR,11,1.3444915166482165,1,2.7756514358084408,0.624595616965223,1,0.3502827491239992,1.4072861017695972,1.236858423380571
88,DFT_CRT,value_scaling,wide,DEoptimR,12,1.3444915166482165,1,2.7756514358084408,0.624595616965223,1,0.3502827491239992,1.4072861017695972,1.236858423380571
88,DFT_CRT,value_scaling,wide,DEoptimR,13,1.3132702893345083,1,1.2508088190547961,0.9676576222564153,1,0.5679569728422637,8.47761420486605,0.4180013178061469
88,DFT_CRT,value_scaling,wide,DEoptimR,14,1.3444915166482165,1,1.2287202662895238,0.624595616965223,1,0.3502827491239992,1.4072861017695972,1.236858423380571
88,DFT_CRT,value_scaling,wide,DEoptimR,15,1.3444915166482165,1,1.2287202662895238,0.624595616965223,1,0.3502827491239992,1.4072861017695972,1.236858423380571
88,DFT_CRT,value_scaling,wide,DEoptimR,16,1.3444915166482165,1,1.2287202662895238,0.624595616965223,1,0.3502827491239992,1.4072861017695972,1.236858423380571
88,DFT_CRT,value_scaling,wide,DEoptimR,17,1.763602669522186,1,1.0492316191368631,1.402200982833374,1,0.4444166129562569,1.620785515881889,1.3230203218636736
88,DFT_CRT,value_scaling,wide,DEoptimR,18,2.860089118921234,1,1.026084411305977,1.506900219957403,1,0.16605978610821304,2.5486367622922605,0.587213506688318
88,DFT_CRT,value_scaling,wide,DEoptimR,19,2.860089118921234,1,1.026084411305977,1.506900219957403,1,0.16605978610821304,2.5486367622922605,0.587213506688318
88,DFT_CRT,value_scaling,wide,DEoptimR,20,2.860089118921234,1,1.026084411305977,1.506900219957403,1,0.16605978610821304,2.5486367622922605,0.587213506688318
88,DFT_CRT,value_scaling,wide,DEoptimR,21,2.860089118921234,1,1.026084411305977,1.506900219957403,1,0.16605978610821304,2.5486367622922605,0.587213506688318
88,DFT_CRT,value_scaling,wide,DEoptimR,22,2.860089118921234,1,1.026084411305977,1.506900219957403,1,0.16605978610821304,2.5486367622922605,0.587213506688318
88,DFT_CRT,value_scaling,wide,DEoptimR,23,2.860089118921234,1,1.026084411305977,1.506900219957403,1,0.16605978610821304,2.5486367622922605,0.587213506688318
88,DFT_CRT,value_scaling,wide,DEoptimR,24,1.7354605082808776,1,1.0906160226059172,0.8726417057724756,1,0.22264170132891176,2.1289509200889993,1.1748414311850843
88,DFT_CRT,value_scaling,wide,DEoptimR,25,1.7354605082808776,1,1.0906160226059172,0.8726417057724756,1,0.22264170132891176,2.1289509200889993,1.1748414311850843
88,DFT_CRT,value_scaling,wide,DEoptimR,26,1.7354605082808776,1,1.0906160226059172,0.8726417057724756,1,0.22264170132891176,2.1289509200889993,1.1748414311850843
88,DFT_CRT,value_scaling,wide,DEoptimR,27,1.7354605082808776,1,1.0906160226059172,0.8726417057724756,1,0.22264170132891176,2.1289509200889993,1.1748414311850843
88,DFT_CRT,value_scaling,wide,DEoptimR,28,1.7354605082808776,1,1.0906160226059172,0.8726417057724756,1,0.22264170132891176,2.1289509200889993,1.1748414311850843
88,DFT_CRT,value_scaling,wide,DEoptimR,29,1.7354605082808776,1,1.0044316620493428,0.9023867001964321,1,0.22264170132891176,2.1289509200889993,1.4228884892950262
88,DFT_CRT,value_scaling,wide,DEoptimR,30,1.7354605082808776,1,1.0044316620493428,0.9023867001964321,1,0.22264170132891176,2.1289509200889993,1.4228884892950262
88,DFT_CRT,value_scaling,wide,DEoptimR,31,1.7354605082808776,1,1.0044316620493428,0.9023867001964321,1,0.22264170132891176,2.1289509200889993,1.4228884892950262
88,DFT_CRT,value_scaling,wide,DEoptimR,32,1.7354605082808776,1,1.0044316620493428,0.9023867001964321,1,0.22264170132891176,2.1289509200889993,1.4228884892950262
