participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu,beta,kappa1,kappa2,w,theta_star,t0
20,DFT_CRT,time_scaling,wide,DEoptimR,1,2.502095492784865,1,0.0718121927883476,1,9.044230480212718,0.5258932350537646,4.035047291642986,1.202986362425145
20,DFT_CRT,time_scaling,wide,DEoptimR,2,1.456198914508867,1,0.015221775064710528,1,8.69908756210505,0.5268289188161824,4.877679014175358,1.4128949788222962
20,DFT_CRT,time_scaling,wide,DEoptimR,3,1.121733881492267,1,0.3149356858729288,1,6.631854783895735,0.5574792689656459,5.797547154794977,1.0103408606671187
20,DFT_CRT,time_scaling,wide,DEoptimR,4,1.121733881492267,1,0.3149356858729288,1,6.631854783895735,0.5574792689656459,5.797547154794977,1.0103408606671187
20,DFT_CRT,time_scaling,wide,DEoptimR,5,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,6,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,7,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,8,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,9,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,10,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,11,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,12,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,13,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,14,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,15,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,16,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,17,2.4523541075793043,1,0.7215573336650111,1,6.864563303941315,0.1292343353401102,3.9938556951781248,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,18,2.5513339497586376,1,0.7215573336650111,1,6.864563303941315,0.10801324056102365,4.287370521739033,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,19,2.5513339497586376,1,0.7215573336650111,1,6.864563303941315,0.10801324056102365,4.287370521739033,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,20,2.5513339497586376,1,0.7215573336650111,1,6.864563303941315,0.10801324056102365,4.287370521739033,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,21,2.5513339497586376,1,0.7215573336650111,1,6.864563303941315,0.10801324056102365,4.287370521739033,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,22,2.5513339497586376,1,0.7215573336650111,1,6.864563303941315,0.10801324056102365,4.287370521739033,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,23,2.5513339497586376,1,0.7215573336650111,1,6.864563303941315,0.10801324056102365,4.287370521739033,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,24,2.5513339497586376,1,0.7215573336650111,1,6.864563303941315,0.10801324056102365,4.287370521739033,1.3575444309695437
20,DFT_CRT,time_scaling,wide,DEoptimR,25,2.2714172897354157,1,0.4710148717598206,1,2.374112731697659,0.05872217709345093,4.055394371971991,1.5158835109253432
20,DFT_CRT,time_scaling,wide,DEoptimR,26,2.2714172897354157,1,0.4710148717598206,1,2.374112731697659,0.05872217709345093,4.055394371971991,1.5158835109253432
20,DFT_CRT,time_scaling,wide,DEoptimR,27,2.2714172897354157,1,0.4710148717598206,1,2.374112731697659,0.05872217709345093,4.055394371971991,1.5158835109253432
20,DFT_CRT,time_scaling,wide,DEoptimR,28,2.2714172897354157,1,0.4710148717598206,1,2.374112731697659,0.05872217709345093,4.055394371971991,1.5158835109253432
20,DFT_CRT,time_scaling,wide,DEoptimR,29,2.2714172897354157,1,0.4710148717598206,1,2.374112731697659,0.05872217709345093,4.055394371971991,1.5158835109253432
20,DFT_CRT,time_scaling,wide,DEoptimR,30,2.2714172897354157,1,0.4710148717598206,1,2.374112731697659,0.05872217709345093,4.055394371971991,1.5158835109253432
20,DFT_CRT,time_scaling,wide,DEoptimR,31,2.2714172897354157,1,0.4710148717598206,1,2.374112731697659,0.05872217709345093,4.055394371971991,1.5158835109253432
20,DFT_CRT,time_scaling,wide,DEoptimR,32,2.2714172897354157,1,0.4710148717598206,1,2.374112731697659,0.05872217709345093,4.055394371971991,1.5158835109253432
