participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa1,kappa2,w,theta_star,t0
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,1,2.0632905573025346,1,0.5758397192694247,0.7708738002879546,1,6.612316926475614,0.5766797561960667,5.9051881673978635,0.30090185907902195
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,2,2.0632905573025346,1,0.5758397192694247,0.7708738002879546,1,6.612316926475614,0.5766797561960667,5.9051881673978635,0.30090185907902195
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,3,2.5228186367638408,1,0.629959947662428,0.6618574936129153,1,2.2967948485165834,0.1460665686191805,2.190198044148735,1.2728349658916704
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,4,2.5228186367638408,1,0.629959947662428,0.6618574936129153,1,2.2967948485165834,0.1460665686191805,2.190198044148735,1.2728349658916704
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,5,2.5228186367638408,1,0.629959947662428,0.6618574936129153,1,4.335387298464775,0.1460665686191805,2.190198044148735,1.2728349658916704
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,6,2.5228186367638408,1,0.629959947662428,0.6618574936129153,1,4.335387298464775,0.1460665686191805,2.190198044148735,1.2728349658916704
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,7,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,9.599103927500547,0.44661043446987936,5.052927415704731,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,8,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,9.599103927500547,0.44661043446987936,5.052927415704731,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,9,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,9.599103927500547,0.44661043446987936,5.052927415704731,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,10,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,9.599103927500547,0.44661043446987936,5.052927415704731,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,11,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,9.599103927500547,0.44661043446987936,5.052927415704731,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,12,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,13,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,14,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,15,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,16,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,17,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,18,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,19,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,20,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,21,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,22,1.63233102972243,1,1.311994359595701,1.0122805033650248,1,2.6253026287071406,0.44656082473183334,4.411402668776548,0.971193707978361
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,23,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,4.920924920261973,0.3607172818435003,3.966094151454061,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,24,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,4.382118828179622,0.3607172818435003,3.966094151454061,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,25,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,4.382118828179622,0.3607172818435003,3.966094151454061,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,26,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,4.382118828179622,0.3607172818435003,3.966094151454061,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,27,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,4.382118828179622,0.3607172818435003,3.966094151454061,0.742433548459731
38,DFT_CRT,time_and_value_scaling,wide,DEoptim,28,1.4264127333757468,1,2.6562150267418474,0.9080814663573986,1,4.382118828179622,0.3607172818435003,3.966094151454061,0.742433548459731
