participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa1,kappa2,w,theta_star,t01,t02
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,1,1.0819301522686147,1,1.8590571912936866,0.48669231316307565,1,7.816371403168887,0.8592808245203738,21.0223132551168,0.5454909805441276,0.9208451735088603
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,2,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,3,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,4,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,5,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,6,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,7,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,8,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,9,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,10,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,11,1.2778196706180462,1,2.26201604988671,0.14043143171456987,1,8.016151806188525,0.32660675995606003,6.155519007861148,1.0449993361326917,1.3275865355938679
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,12,1.8409366921483237,1,0.34453856790765136,0.41041139292094675,1,1.246749876040134,0.1160653557937007,6.418041440195724,0.6682153407196298,0.6740276536659083
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,13,1.8571388060343583,1,0.8960359537812965,0.011392183815732312,1,4.006369273031942,0.08936433251558057,3.8863821943043346,0.6007087370524016,0.9768246074671003
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,14,1.8571388060343583,1,0.8960359537812965,0.011392183815732312,1,4.006369273031942,0.08936433251558057,3.8863821943043346,0.6007087370524016,0.9768246074671003
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,15,1.8571388060343583,1,0.8960359537812965,0.011392183815732312,1,4.006369273031942,0.08936433251558057,3.8863821943043346,0.6007087370524016,0.9768246074671003
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,16,1.8571388060343583,1,0.8960359537812965,0.011392183815732312,1,4.006369273031942,0.08936433251558057,3.8863821943043346,0.6007087370524016,0.9768246074671003
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,17,1.8571388060343583,1,0.8960359537812965,0.011392183815732312,1,4.7277517209736715,0.08936433251558057,3.8863821943043346,0.6209633677902847,0.9768246074671003
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,18,1.8571388060343583,1,0.8960359537812965,0.011392183815732312,1,4.7277517209736715,0.08936433251558057,3.8863821943043346,0.6209633677902847,0.9768246074671003
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,19,1.8571388060343583,1,0.8960359537812965,0.011392183815732312,1,4.7277517209736715,0.08936433251558057,3.8863821943043346,0.6209633677902847,0.9768246074671003
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,20,1.8571388060343583,1,0.8960359537812965,0.011392183815732312,1,4.7277517209736715,0.08936433251558057,3.8863821943043346,0.6209633677902847,0.9768246074671003
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,21,1.4549906005170372,1,1.202681836361772,0.1262527632890767,1,0.18854359262473785,0.03823323115368074,4.610740021179997,0.9469549901450185,0.26700268505018177
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,22,1.4549906005170372,1,1.202681836361772,0.1262527632890767,1,0.18854359262473785,0.03823323115368074,4.610740021179997,0.9469549901450185,0.26700268505018177
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,23,2.973617702876279,1,2.138945616839115,0.6275630922790464,1,1.4745532004517143,0.03041470388459888,4.821850711840414,0.9122973772142275,1.4507004897220468
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,24,0.6557189538981766,1,1.7514210681912856,0.372293240299971,1,1.9928139706362418,0.49275010283873955,4.469904108542933,0.8230576220520486,1.2113662080125855
20,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,25,0.6557189538981766,1,1.7514210681912856,0.372293240299971,1,1.9928139706362418,0.49275010283873955,4.469904108542933,0.8230576220520486,1.2113662080125855
