participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa,w,a,t01,t02
74,DDM,value_scaling_t0,wide,DEoptim,1,0.12533532820176335,1,2.0497947565745562,0.23541310131317006,1,0.6015465101335989,7.058227322554449,1.074326179001946,1.4025996220647359
74,DDM,value_scaling_t0,wide,DEoptim,2,0.12533532820176335,1,2.0497947565745562,0.23541310131317006,1,0.6015465101335989,7.058227322554449,1.074326179001946,1.4025996220647359
74,DDM,value_scaling_t0,wide,DEoptim,3,0.28611295628594235,1,1.5128166689537466,0.07363624145369968,1,0.8112737636856089,5.258684949336239,1.1449547876669095,1.025990983939264
74,DDM,value_scaling_t0,wide,DEoptim,4,0.28611295628594235,1,1.5128166689537466,0.07363624145369968,1,0.8112737636856089,5.258684949336239,1.1449547876669095,1.025990983939264
74,DDM,value_scaling_t0,wide,DEoptim,5,0.0786623116964475,1,2.7751259619835764,0.16204065624857322,1,0.5507077570887553,2.668096163680266,1.1461518757432516,1.1957039126865565
74,DDM,value_scaling_t0,wide,DEoptim,6,0.1147590906778352,1,2.7751259619835764,0.16204065624857322,1,0.5507077570887553,2.668096163680266,1.1461518757432516,1.1957039126865565
74,DDM,value_scaling_t0,wide,DEoptim,7,0.1147590906778352,1,2.7751259619835764,0.16204065624857322,1,0.5507077570887553,2.668096163680266,1.1461518757432516,1.1957039126865565
74,DDM,value_scaling_t0,wide,DEoptim,8,0.06946275472640992,1,1.0566799810621887,0.14360731817513694,1,0.6990939364775627,2.4549248835952016,0.6271061979159381,1.2415136894444003
74,DDM,value_scaling_t0,wide,DEoptim,9,0.06946275472640992,1,1.0566799810621887,0.14360731817513694,1,0.6990939364775627,2.4549248835952016,0.6271061979159381,1.2415136894444003
74,DDM,value_scaling_t0,wide,DEoptim,10,0.06946275472640992,1,2.0149392239470036,0.14360731817513694,1,0.6990939364775627,2.4549248835952016,0.6271061979159381,1.2415136894444003
74,DDM,value_scaling_t0,wide,DEoptim,11,0.13823169946220587,1,2.2113615482971074,0.37325047553051266,1,0.9050127593868084,3.0400974476570264,0.5499052710614951,1.524767987842206
74,DDM,value_scaling_t0,wide,DEoptim,12,0.13823169946220587,1,2.2113615482971074,0.37325047553051266,1,0.9050127593868084,3.0400974476570264,0.5499052710614951,1.524767987842206
74,DDM,value_scaling_t0,wide,DEoptim,13,0.13823169946220587,1,2.2113615482971074,0.37325047553051266,1,0.9050127593868084,3.0400974476570264,0.5499052710614951,1.524767987842206
74,DDM,value_scaling_t0,wide,DEoptim,14,0.1147590906778352,1,2.7751259619835764,0.08634132368650768,1,0.5507077570887553,2.668096163680266,1.1461518757432516,1.1957039126865565
74,DDM,value_scaling_t0,wide,DEoptim,15,0.1147590906778352,1,2.7751259619835764,0.08634132368650768,1,0.5507077570887553,2.668096163680266,1.1461518757432516,1.1957039126865565
74,DDM,value_scaling_t0,wide,DEoptim,16,0.22006814832324206,1,1.8786638681028038,0.08611713640433584,1,0.7933471157784227,2.2309883184847497,1.1998813347874249,1.4457526640609015
74,DDM,value_scaling_t0,wide,DEoptim,17,0.22006814832324206,1,1.8786638681028038,0.08611713640433584,1,0.7933471157784227,2.2309883184847497,1.1998813347874249,1.4457526640609015
74,DDM,value_scaling_t0,wide,DEoptim,18,0.22006814832324206,1,1.8786638681028038,0.08611713640433584,1,0.7933471157784227,2.2309883184847497,1.1998813347874249,1.4457526640609015
74,DDM,value_scaling_t0,wide,DEoptim,19,0.22006814832324206,1,2.948136349469939,0.08611713640433584,1,0.7933471157784227,2.2309883184847497,1.1998813347874249,1.4457526640609015
74,DDM,value_scaling_t0,wide,DEoptim,20,0.22006814832324206,1,2.948136349469939,0.08611713640433584,1,0.7933471157784227,2.2309883184847497,1.1998813347874249,1.4457526640609015
