participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa,w,a,t01,t02,t03
69,DDM,value_scaling_t0,wide,DEoptimR,1,0.5018471826449968,1,2.440546988742426,0.4102195980749093,1,0.4084257123360271,1.0989210257879458,1.3868771363282577,0.24180630783084783,1.3765877814847045
69,DDM,value_scaling_t0,wide,DEoptimR,2,0.5018471826449968,1,2.440546988742426,0.4102195980749093,1,0.4084257123360271,1.0989210257879458,1.3868771363282577,0.24180630783084783,1.3765877814847045
69,DDM,value_scaling_t0,wide,DEoptimR,3,0.15815130377333728,1,1.1422985604663498,0.11802984077410658,1,0.9937285589283327,7.841838830162186,1.5157586534860004,0.12843806877339967,0.4078312868637822
69,DDM,value_scaling_t0,wide,DEoptimR,4,0.15815130377333728,1,1.1422985604663498,0.11802984077410658,1,0.9937285589283327,7.841838830162186,1.5157586534860004,0.12843806877339967,0.4078312868637822
69,DDM,value_scaling_t0,wide,DEoptimR,5,0.5591802713590359,1,1.4511465565301478,0.4961767969559879,1,0.6931265401772173,3.6364258537868692,1.4206122864932633,0.46775878767184265,1.5975487197684677
69,DDM,value_scaling_t0,wide,DEoptimR,6,0.35469035842772034,1,1.4800912092442815,0.5332538723922027,1,0.8910090038758349,2.4583301708269865,1.5541333259757257,0.49087529425742105,1.5850972130021546
69,DDM,value_scaling_t0,wide,DEoptimR,7,0.35469035842772034,1,1.4800912092442815,0.5332538723922027,1,0.8910090038758349,2.4583301708269865,1.5541333259757257,0.49087529425742105,1.5850972130021546
69,DDM,value_scaling_t0,wide,DEoptimR,8,0.5591802713590359,1,1.4511465565301478,0.4961767969559879,1,0.6931265401772173,3.6364258537868692,1.4206122864932633,0.46775878767184265,1.5975487197684677
69,DDM,value_scaling_t0,wide,DEoptimR,9,0.5591802713590359,1,1.4511465565301478,0.4961767969559879,1,0.6931265401772173,3.6364258537868692,1.4206122864932633,0.46775878767184265,1.5975487197684677
69,DDM,value_scaling_t0,wide,DEoptimR,10,0.5591802713590359,1,1.4511465565301478,0.4961767969559879,1,0.6931265401772173,3.6364258537868692,1.4206122864932633,0.46775878767184265,1.5975487197684677
69,DDM,value_scaling_t0,wide,DEoptimR,11,0.5219912816927476,1,1.6780599210064044,0.17252723342772158,1,0.2702952024221027,3.4913553293503217,1.4058206914574674,1.1450602780023758,1.6188622121460032
69,DDM,value_scaling_t0,wide,DEoptimR,12,0.5219912816927476,1,1.6780599210064044,0.17252723342772158,1,0.2702952024221027,3.4913553293503217,1.4058206914574674,1.1450602780023758,1.6188622121460032
69,DDM,value_scaling_t0,wide,DEoptimR,13,0.5591802713590359,1,1.1833161013387483,0.4961767969559879,1,0.6931265401772173,3.6364258537868692,1.4206122864932633,0.46775878767184265,1.5975487197684677
69,DDM,value_scaling_t0,wide,DEoptimR,14,0.5591802713590359,1,1.1833161013387483,0.4961767969559879,1,0.6931265401772173,3.6364258537868692,1.4206122864932633,0.46775878767184265,1.5975487197684677
69,DDM,value_scaling_t0,wide,DEoptimR,15,0.5591802713590359,1,1.1833161013387483,0.4961767969559879,1,0.6931265401772173,3.6364258537868692,1.4206122864932633,0.46775878767184265,1.5975487197684677
69,DDM,value_scaling_t0,wide,DEoptimR,16,0.2784308903636463,1,1.0759652847630006,0.06334972616055759,1,0.764672535662753,5.654036430881125,0.1884064861019391,1.188951273235478,0.16054243050561365
69,DDM,value_scaling_t0,wide,DEoptimR,17,0.2784308903636463,1,1.0759652847630006,0.06334972616055759,1,0.764672535662753,5.654036430881125,0.1884064861019391,1.188951273235478,0.16054243050561365
69,DDM,value_scaling_t0,wide,DEoptimR,18,0.5687250478885552,1,1.0903390385396485,0.30924951186429794,1,0.533033776600228,5.1128204941140725,1.1405791960201122,1.2673892204174635,1.3866166502901096
69,DDM,value_scaling_t0,wide,DEoptimR,19,0.39839711074168305,1,1.037093965913301,0.15160036246224928,1,0.5404640416425798,4.01673303385923,0.7701262809814812,0.9892114293421664,1.6111932120034442
69,DDM,value_scaling_t0,wide,DEoptimR,20,0.39839711074168305,1,1.037093965913301,0.15160036246224928,1,0.5404640416425798,4.01673303385923,0.7701262809814812,0.9892114293421664,1.6111932120034442
69,DDM,value_scaling_t0,wide,DEoptimR,21,0.39839711074168305,1,1.037093965913301,0.15160036246224928,1,0.5404640416425798,4.01673303385923,0.7701262809814812,0.9892114293421664,1.6111932120034442
69,DDM,value_scaling_t0,wide,DEoptimR,22,0.2771571879162442,1,0.9997750930178589,0.08500593865647081,1,0.7278641225010338,4.20364519380338,0.45136321129101553,0.3530433909221662,0.8576571492766369
69,DDM,value_scaling_t0,wide,DEoptimR,23,0.4239202320827056,1,0.9524678364064223,0.31548571286150784,1,0.578064542297037,2.575115814557887,1.3999657395966372,0.7178882760276325,1.1252900877275454
69,DDM,value_scaling_t0,wide,DEoptimR,24,0.4589927085600372,1,1.0427629390771507,0.42724593449839815,1,0.7024505283853157,3.769576048748397,0.4981254968310562,0.6653508329735931,1.1113170230977847
69,DDM,value_scaling_t0,wide,DEoptimR,25,0.2771571879162442,1,0.9997750930178589,0.08500593865647081,1,0.7278641225010338,4.20364519380338,0.45136321129101553,0.3530433909221662,0.8576571492766369
69,DDM,value_scaling_t0,wide,DEoptimR,26,0.2771571879162442,1,0.9997750930178589,0.08500593865647081,1,0.7278641225010338,4.20364519380338,0.45136321129101553,0.3530433909221662,0.8576571492766369
