participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu,beta,kappa1,kappa2,w,theta_star,t01,t02
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,1,0.33858159734169024,1,0.45891922527924184,1,6.2923553376458585,0.8922287759210077,2.716737245651893,0.7208862371742726,0.30833109193481506
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,2,2.853160997755415,1,2.0991851002146493,1,0.2542485890444368,0.14305597459234998,4.294893031610265,0.23691296100316317,1.1513660096389375
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,3,2.741340036055996,1,0.42785314125018103,1,4.881285630583484,0.20765161212476904,6.871852726518489,0.5488455861636201,1.0288764326449371
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,4,0.6618574936129153,1,0.12641640293105705,1,7.7379970380899525,0.766771584902537,3.4179950444047407,1.5526571570546368,1.4441279876717334
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,5,2.6176622173997446,1,0.3541845701984863,1,7.571519864547209,0.3970698299217061,4.816169138068037,0.5714050997690341,1.1018097811937226
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,6,2.6176622173997446,1,0.3541845701984863,1,7.571519864547209,0.3970698299217061,4.816169138068037,0.5714050997690341,1.1018097811937226
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,7,2.6176622173997446,1,0.3541845701984863,1,7.571519864547209,0.3970698299217061,4.816169138068037,0.5714050997690341,1.1018097811937226
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,8,2.6176622173997446,1,0.3541845701984863,1,7.571519864547209,0.3970698299217061,4.816169138068037,0.5714050997690341,1.1018097811937226
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,9,2.6176622173997446,1,0.3541845701984863,1,7.571519864547209,0.3970698299217061,4.816169138068037,0.5714050997690341,1.1018097811937226
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,10,2.6176622173997446,1,0.3541845701984863,1,7.571519864547209,0.3970698299217061,4.816169138068037,0.5714050997690341,1.1018097811937226
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,11,1.9295708224400496,1,0.4209037197985668,1,5.994564744309803,0.4593765140289162,3.7028382988530275,0.8309711653634148,1.452660093318039
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,12,1.9295708224400496,1,0.4209037197985668,1,5.994564744309803,0.4593765140289162,3.7028382988530275,0.8309711653634148,1.452660093318039
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,13,2.3573178216798385,1,0.8663540760187349,1,3.8761863854599965,0.16099760537576402,4.986432640428888,0.36445139603153687,0.9364919109084029
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,14,2.30023602414932,1,0.6307937364422636,1,1.97805209976206,0.10565856230747273,4.065788079897652,0.1425126734707188,1.2100292734590181
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,15,2.30023602414932,1,0.6307937364422636,1,1.97805209976206,0.10565856230747273,4.065788079897652,0.1425126734707188,1.2100292734590181
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,16,2.30023602414932,1,0.6307937364422636,1,1.97805209976206,0.10565856230747273,4.065788079897652,0.1425126734707188,1.2100292734590181
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,17,2.30023602414932,1,0.6307937364422636,1,1.97805209976206,0.10565856230747273,4.065788079897652,0.1425126734707188,1.2100292734590181
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,18,2.30023602414932,1,0.6307937364422636,1,1.97805209976206,0.10565856230747273,4.065788079897652,0.1425126734707188,1.2100292734590181
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,19,2.30023602414932,1,0.6307937364422636,1,1.97805209976206,0.10565856230747273,4.065788079897652,0.1425126734707188,1.2100292734590181
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,20,2.256957794411235,1,0.664627404716564,1,6.057586242901781,0.08833177543611465,4.455686653507151,0.6715904736903835,1.1804705470663748
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,21,2.256957794411235,1,0.664627404716564,1,6.057586242901781,0.08833177543611465,4.455686653507151,0.6715904736903835,1.1804705470663748
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,22,2.256957794411235,1,0.664627404716564,1,6.057586242901781,0.08833177543611465,4.455686653507151,0.6715904736903835,1.1804705470663748
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,23,2.3230956976897588,1,0.6286848930392984,1,2.204653348653508,0.08442529460386083,3.805615773905895,0.07718230096716977,1.1350512693628827
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,24,2.3230956976897588,1,0.6286848930392984,1,2.204653348653508,0.08442529460386083,3.805615773905895,0.07718230096716977,1.1350512693628827
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,25,2.3230956976897588,1,0.6286848930392984,1,2.204653348653508,0.08442529460386083,3.805615773905895,0.07718230096716977,1.1350512693628827
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,26,2.9185133450748006,1,0.3757573108930791,1,9.472958578634593,0.07946993879167219,3.595838327621547,0.229381037390861,1.318068108799869
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,27,2.800643772484544,1,0.5962668284036434,1,5.901021195617888,0.06257362170568347,3.7028382988530275,0.8309711653634148,0.9953087747733305
14,DFT_CRT,time_scaling_t0,wide,DEoptimR,28,2.7103100573558265,1,0.47275064866255456,1,8.215322792549804,0.05172466311794166,3.3666914316178502,0.7155646175259555,1.4865962371753931
