participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa1,kappa2,w,a,t0
25,DDM,time_and_value_scaling,wide,DEoptimR,1,0.877224818950255,1,2.5876530159730464,0.10227931080895282,1,2.9417869912410266,0.7174624141890675,7.475900931184541,0.4457939236028067
25,DDM,time_and_value_scaling,wide,DEoptimR,2,0.8768753694110621,1,1.707412133891311,0.49633494079630647,1,5.677193934097886,0.9258374253409752,2.1148987052853054,1.5463079067561047
25,DDM,time_and_value_scaling,wide,DEoptimR,3,0.8768753694110621,1,1.707412133891311,0.49633494079630647,1,5.677193934097886,0.9258374253409752,2.1148987052853054,1.5463079067561047
25,DDM,time_and_value_scaling,wide,DEoptimR,4,0.8768753694110621,1,1.707412133891311,0.49633494079630647,1,5.677193934097886,0.9258374253409752,2.1148987052853054,1.5463079067561047
25,DDM,time_and_value_scaling,wide,DEoptimR,5,0.8768753694110621,1,1.707412133891311,0.49633494079630647,1,5.677193934097886,0.9258374253409752,2.1148987052853054,1.5463079067561047
25,DDM,time_and_value_scaling,wide,DEoptimR,6,0.3466305045861411,1,1.2267159615856944,0.18377243151536143,1,1.1131650545129896,0.5294099401968547,3.8969484379550394,0.7704211347015658
25,DDM,time_and_value_scaling,wide,DEoptimR,7,0.3466305045861411,1,1.2267159615856944,0.18377243151536143,1,1.1131650545129896,0.5294099401968547,3.8969484379550394,0.7704211347015658
25,DDM,time_and_value_scaling,wide,DEoptimR,8,0.3466305045861411,1,1.2267159615856944,0.18377243151536143,1,1.1131650545129896,0.5294099401968547,3.8969484379550394,0.7704211347015658
25,DDM,time_and_value_scaling,wide,DEoptimR,9,0.3466305045861411,1,1.2267159615856944,0.18377243151536143,1,1.1131650545129896,0.5294099401968547,3.8969484379550394,0.7704211347015658
25,DDM,time_and_value_scaling,wide,DEoptimR,10,0.3466305045861411,1,1.2267159615856944,0.18377243151536143,1,1.1131650545129896,0.5294099401968547,3.8969484379550394,0.7704211347015658
25,DDM,time_and_value_scaling,wide,DEoptimR,11,1.0679368393911548,1,0.7543393560198528,0.352978665179598,1,1.4304883556906134,0.4541476021540202,2.8438308127120244,0.7365754000106195
25,DDM,time_and_value_scaling,wide,DEoptimR,12,0.6453457099045017,1,2.516135969753131,0.1073067627161268,1,1.186497282911037,0.7740280927228733,5.07641080118118,0.8099786573388399
25,DDM,time_and_value_scaling,wide,DEoptimR,13,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,14,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,15,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,16,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,17,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,18,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,19,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,20,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,21,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,22,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,23,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,24,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,25,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,26,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,27,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,28,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
25,DDM,time_and_value_scaling,wide,DEoptimR,29,0.68872239375723,1,1.8091576344856293,0.30786477263947687,1,1.0907151179980588,0.7585773511845578,3.8854713862829335,1.0944336332029287
