participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu,beta,kappa1,kappa2,kappa3,w,theta_star,t0
13,DFT_CRT,time_scaling,wide,DEoptim,1,2.0632905573025346,1,0.5839202535385266,1,9.994586305692792,6.612316926475614,0.5766797561960667,5.9051881673978635,0.30090185907902195
13,DFT_CRT,time_scaling,wide,DEoptim,2,2.0632905573025346,1,0.5839202535385266,1,9.994586305692792,6.612316926475614,0.5766797561960667,5.9051881673978635,0.30090185907902195
13,DFT_CRT,time_scaling,wide,DEoptim,3,2.0632905573025346,1,0.5839202535385266,1,9.994586305692792,6.612316926475614,0.5766797561960667,5.9051881673978635,0.30090185907902195
13,DFT_CRT,time_scaling,wide,DEoptim,4,1.4956534053361976,1,1.0327237701578997,1,3.5949601139873266,3.6786465691402555,0.45647500593664536,3.7241258911089967,0.30932445344515147
13,DFT_CRT,time_scaling,wide,DEoptim,5,1.4956534053361976,1,1.0327237701578997,1,3.5949601139873266,3.6786465691402555,0.45647500593664536,3.7241258911089967,0.30932445344515147
13,DFT_CRT,time_scaling,wide,DEoptim,6,1.4956534053361976,1,1.0327237701578997,1,3.5949601139873266,3.6786465691402555,0.45647500593664536,3.7241258911089967,0.30932445344515147
13,DFT_CRT,time_scaling,wide,DEoptim,7,1.4956534053361976,1,1.0327237701578997,1,3.5949601139873266,3.6786465691402555,0.45647500593664536,3.7241258911089967,0.30932445344515147
13,DFT_CRT,time_scaling,wide,DEoptim,8,1.4956534053361976,1,1.0327237701578997,1,3.5949601139873266,3.6786465691402555,0.45647500593664536,3.7241258911089967,0.30932445344515147
13,DFT_CRT,time_scaling,wide,DEoptim,9,1.4956534053361976,1,1.0327237701578997,1,3.5949601139873266,3.6786465691402555,0.45647500593664536,3.7241258911089967,0.30932445344515147
13,DFT_CRT,time_scaling,wide,DEoptim,10,1.4956534053361976,1,1.0327237701578997,1,3.5949601139873266,3.6786465691402555,0.45647500593664536,3.7241258911089967,0.30932445344515147
13,DFT_CRT,time_scaling,wide,DEoptim,11,0.7665900598414922,1,1.3532598082600393,1,7.5819888869300485,9.210560566745698,0.9882380265821843,1.9477052967157213,1.3904613123787568
13,DFT_CRT,time_scaling,wide,DEoptim,12,0.30361343194268514,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.095971619123842
13,DFT_CRT,time_scaling,wide,DEoptim,13,0.30361343194268514,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.095971619123842
13,DFT_CRT,time_scaling,wide,DEoptim,14,0.30361343194268514,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.095971619123842
13,DFT_CRT,time_scaling,wide,DEoptim,15,0.30361343194268514,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.095971619123842
13,DFT_CRT,time_scaling,wide,DEoptim,16,0.30361343194268514,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.095971619123842
13,DFT_CRT,time_scaling,wide,DEoptim,17,0.30361343194268514,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.095971619123842
13,DFT_CRT,time_scaling,wide,DEoptim,18,0.30361343194268514,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.095971619123842
13,DFT_CRT,time_scaling,wide,DEoptim,19,0.30361343194268514,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.095971619123842
13,DFT_CRT,time_scaling,wide,DEoptim,20,0.051746134200169325,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.3781755910795885
13,DFT_CRT,time_scaling,wide,DEoptim,21,0.051746134200169325,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.3781755910795885
13,DFT_CRT,time_scaling,wide,DEoptim,22,0.051746134200169325,1,1.6412197357273741,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.3781755910795885
13,DFT_CRT,time_scaling,wide,DEoptim,23,0.051746134200169325,1,1.6802547429699408,1,2.794195167608559,7.137025077249855,0.9827051116426802,2.0882919812761243,1.3781755910795885
13,DFT_CRT,time_scaling,wide,DEoptim,24,0.5731350684885903,1,0.2319237960528875,1,5.552725135535002,1.7786779208108783,0.7595930876390962,2.0228470451479286,1.3132007579479563
13,DFT_CRT,time_scaling,wide,DEoptim,25,0.5731350684885903,1,0.2319237960528875,1,5.552725135535002,1.7786779208108783,0.7595930876390962,2.0228470451479286,1.3132007579479563
13,DFT_CRT,time_scaling,wide,DEoptim,26,0.5731350684885903,1,0.2319237960528875,1,5.552725135535002,1.7786779208108783,0.7595930876390962,2.0228470451479286,1.3132007579479563
13,DFT_CRT,time_scaling,wide,DEoptim,27,0.5731350684885903,1,0.2319237960528875,1,5.552725135535002,1.7786779208108783,0.7595930876390962,2.0228470451479286,1.3132007579479563
13,DFT_CRT,time_scaling,wide,DEoptim,28,0.5731350684885903,1,0.2319237960528875,1,4.3824190429547745,1.336142891086638,0.7595930876390962,2.0228470451479286,1.3132007579479563
13,DFT_CRT,time_scaling,wide,DEoptim,29,0.5731350684885903,1,0.2319237960528875,1,4.3824190429547745,1.336142891086638,0.7595930876390962,2.0228470451479286,1.3132007579479563
