participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa,w,theta_star,t0
43,DFT_CRT,value_scaling,wide,DEoptim,1,1.5292092230101118,1,2.3336504290346056,2.4138610180746762,1,0.42305457608163827,7.205882728046271,1.0064096354297363
43,DFT_CRT,value_scaling,wide,DEoptim,2,1.5382137507153677,1,2.3336504290346056,2.4138610180746762,1,0.42305457608163827,7.205882728046271,1.0064096354297363
43,DFT_CRT,value_scaling,wide,DEoptim,3,1.5382137507153677,1,2.3336504290346056,2.4138610180746762,1,0.42305457608163827,7.205882728046271,1.0064096354297363
43,DFT_CRT,value_scaling,wide,DEoptim,4,2.2191708511415875,1,1.4373231350909919,2.0109118216019124,1,0.6939199734637421,6.173393933726466,1.4202288564066403
43,DFT_CRT,value_scaling,wide,DEoptim,5,1.9507227544928902,1,2.907205745810643,1.165548920130823,1,0.7365029270637176,4.927844117338296,0.5104671228677035
43,DFT_CRT,value_scaling,wide,DEoptim,6,1.9507227544928902,1,2.907205745810643,1.165548920130823,1,0.7365029270637176,4.927844117338296,0.5104671228677035
43,DFT_CRT,value_scaling,wide,DEoptim,7,1.5382137507153677,1,2.3336504290346056,2.4138610180746762,1,0.6673392903937297,7.205882728046271,1.0064096354297363
43,DFT_CRT,value_scaling,wide,DEoptim,8,1.9507227544928902,1,2.4758189307991416,2.794492739497591,1,0.7365029270637176,4.927844117338296,0.5104671228677035
43,DFT_CRT,value_scaling,wide,DEoptim,9,1.9507227544928902,1,2.4758189307991416,2.794492739497591,1,0.7365029270637176,4.927844117338296,0.5104671228677035
43,DFT_CRT,value_scaling,wide,DEoptim,10,1.9507227544928902,1,2.4758189307991416,2.1609101904098877,1,0.5081289262835179,4.927844117338296,0.5104671228677035
43,DFT_CRT,value_scaling,wide,DEoptim,11,1.3041368708177468,1,0.4863836020231247,0.7835686474806633,1,0.5146810379538731,5.221921975548345,0.8836563736672514
43,DFT_CRT,value_scaling,wide,DEoptim,12,2.745037973696366,1,2.0439721728991715,1.5217018515686505,1,0.12100472850613903,5.180931789929786,0.21639258215173807
43,DFT_CRT,value_scaling,wide,DEoptim,13,1.3584148682840167,1,0.8887830076273531,1.1711021376946944,1,0.8518419660238501,3.409349685258194,1.3052408157964237
43,DFT_CRT,value_scaling,wide,DEoptim,14,1.3584148682840167,1,0.8887830076273531,1.1711021376946944,1,0.8518419660238501,3.409349685258194,1.3052408157964237
43,DFT_CRT,value_scaling,wide,DEoptim,15,1.3584148682840167,1,0.8887830076273531,1.1711021376946944,1,0.8518419660238501,3.409349685258194,1.3052408157964237
43,DFT_CRT,value_scaling,wide,DEoptim,16,0.2901383680356666,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,17,0.2901383680356666,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,18,0.2901383680356666,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,19,0.2901383680356666,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,20,0.2901383680356666,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,21,0.6694516311071098,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,22,0.6694516311071098,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,23,0.6694516311071098,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,24,0.6694516311071098,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,25,0.6694516311071098,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
43,DFT_CRT,value_scaling,wide,DEoptim,26,0.6694516311071098,1,2.5762751228895033,2.8227954632090406,1,0.9941489519735985,3.22931007404846,1.2405366219487042
