participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu,beta,kappa1,kappa2,kappa3,w,theta_star,t01,t02,t03
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,1,1.6471021419183431,1,0.8932670852378943,1,6.156028837431222,5.8896051126066595,0.7009403249277502,14.501259187705102,0.47184970323934644,1.2882186693245252,0.9535857034648658
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,2,2.084101298158057,1,0.4963828006029464,1,7.854341627746834,7.94480255630333,0.402881711848514,7.255629593852551,0.41527471457589804,0.5392169664261908,1.0632631860906259
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,3,2.084101298158057,1,0.4963828006029464,1,7.854341627746834,7.94480255630333,0.402881711848514,7.255629593852551,0.41527471457589804,0.5392169664261908,1.0632631860906259
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,4,2.084101298158057,1,0.4963828006029464,1,7.854341627746834,7.94480255630333,0.402881711848514,7.255629593852551,0.41527471457589804,0.5392169664261908,1.0632631860906259
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,5,2.084101298158057,1,0.4963828006029464,1,7.854341627746834,7.94480255630333,0.402881711848514,7.255629593852551,0.41527471457589804,0.5392169664261908,1.0632631860906259
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,6,1.4388170313104927,1,0.5959596205308968,1,5.62868659562569,7.834847266440686,0.7660188024954444,3.6362714456414498,1.519044212835679,0.6709576849859058,0.6769704963203441
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,7,1.4388170313104927,1,0.5959596205308968,1,5.62868659562569,7.834847266440686,0.7660188024954444,3.6362714456414498,1.519044212835679,0.6709576849859058,0.6769704963203441
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,8,1.4388170313104927,1,0.5959596205308968,1,5.62868659562569,4.5185127344975164,0.7660188024954444,3.6362714456414498,0.71530240742201,0.6709576849859058,0.6769704963203441
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,9,2.537357692315054,1,0.14477762173907988,1,1.2245957009758848,6.1242761146702795,0.31018050051322377,3.6010566950313203,0.22628388564668298,0.9931548826371799,0.17545092953951097
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,10,2.537357692315054,1,0.14477762173907988,1,1.2245957009758848,6.1242761146702795,0.31018050051322377,3.6010566950313203,0.22628388564668298,0.9931548826371799,0.17545092953951097
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,11,2.537357692315054,1,0.14477762173907988,1,1.2245957009758848,6.1242761146702795,0.31018050051322377,3.6010566950313203,0.22628388564668298,0.9931548826371799,0.17545092953951097
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,12,2.4982374271805807,1,0.22515122198052318,1,8.278606443013341,7.405343456601781,0.29445884519797116,3.6362714456414498,0.71530240742201,0.6709576849859058,0.6769704963203441
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,13,2.4982374271805807,1,0.22515122198052318,1,8.278606443013341,7.405343456601781,0.29445884519797116,3.6362714456414498,0.71530240742201,0.6709576849859058,0.6769704963203441
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,14,2.045236715977423,1,0.7095065545724611,1,6.832649188581854,3.2702960154589498,0.3737925735537616,3.3020652934282806,1.0112854038346875,1.1078276945179373,0.9847149744444829
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,15,0.7390496072128374,1,0.13413426019786168,1,0.4549236140254097,1.6806156338742952,0.42983808840947085,2.630917494587746,0.9878635683774012,0.5606063906539606,0.9288359979026959
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,16,0.7390496072128374,1,0.13413426019786168,1,0.4549236140254097,1.6806156338742952,0.42983808840947085,2.630917494587746,0.9878635683774012,0.5606063906539606,0.9288359979026959
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,17,0.7390496072128374,1,0.13413426019786168,1,0.4549236140254097,1.6806156338742952,0.42983808840947085,2.630917494587746,0.9878635683774012,0.5606063906539606,0.9288359979026959
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,18,0.7390496072128374,1,0.13413426019786168,1,0.4549236140254097,1.6806156338742952,0.42983808840947085,2.630917494587746,0.9878635683774012,0.5606063906539606,0.9288359979026959
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,19,0.7390496072128374,1,0.13413426019786168,1,0.4549236140254097,1.6806156338742952,0.42983808840947085,2.630917494587746,0.9878635683774012,0.5606063906539606,0.9288359979026959
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,20,0.7390496072128374,1,0.13413426019786168,1,0.4549236140254097,1.6806156338742952,0.42983808840947085,2.630917494587746,0.9878635683774012,0.5606063906539606,0.9288359979026959
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,21,0.7390496072128374,1,0.13413426019786168,1,0.4549236140254097,1.6806156338742952,0.42983808840947085,2.630917494587746,0.9878635683774012,0.5606063906539606,0.9288359979026959
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,22,0.7390496072128374,1,0.13413426019786168,1,0.4549236140254097,1.6806156338742952,0.42983808840947085,2.630917494587746,0.9878635683774012,0.5606063906539606,0.9288359979026959
13,DFT_CRT,time_scaling_t0,wide,DEoptimR,23,0.7390496072128374,1,0.13413426019786168,1,0.4549236140254097,1.6806156338742952,0.42983808840947085,2.630917494587746,0.9878635683774012,0.5606063906539606,0.9288359979026959
