participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa1,kappa2,kappa3,w,theta_star,t0
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,1,2.0828740604664766,1,2.228297120057072,0.234815890386235,1,2.6762877522380206,7.376893775794405,0.40744930602190454,4.890093086129054,0.07211270969128236
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,2,0.9346057421225124,1,0.7619563469197601,0.1350571383512579,1,5.188082313542502,8.088660116773099,0.7251938068336807,3.0782826067460696,0.15523600982269273
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,3,0.9346057421225124,1,0.7619563469197601,0.1350571383512579,1,5.188082313542502,8.088660116773099,0.7251938068336807,3.0782826067460696,0.15523600982269273
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,4,0.7331934664002557,1,1.3743599790990104,0.3265012831545805,1,7.038214864445033,7.718878697022362,0.7450524119585473,1.5441413033730347,0.10348558906311792
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,5,1.9870827610162087,1,2.708770731696859,0.08090859747576684,1,6.539913008766874,4.041426203757862,0.28669188907894033,1.8866995479981414,0.5747099866392091
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,6,1.77815041045251,1,0.7820834376861232,0.6565944754847894,1,6.070993940811604,4.082387636769935,0.4362082215729235,2.497718552853912,1.0793593666286703
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,7,1.77815041045251,1,0.7820834376861232,0.6565944754847894,1,6.070993940811604,4.082387636769935,0.4362082215729235,2.497718552853912,1.0793593666286703
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,8,1.77815041045251,1,0.7820834376861232,0.6565944754847894,1,6.070993940811604,4.082387636769935,0.4362082215729235,2.497718552853912,1.0793593666286703
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,9,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,3.250459085417045,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,10,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,3.250459085417045,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,11,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,3.250459085417045,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,12,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,3.250459085417045,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,13,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,3.250459085417045,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,14,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,3.250459085417045,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,15,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,3.250459085417045,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,16,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,3.250459085417045,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,17,1.69631532600911,1,1.2274419705219852,0.89134926193931,1,5.85306987981312,9.150419670056552,0.6001071786540277,3.6890647595884936,1.3742566464172483
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,18,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,1.553217531974867,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,19,1.8749480386357937,1,0.921449047465863,0.7120996210899494,1,6.555347134586925,1.553217531974867,0.37702910432962106,4.1236662036508704,1.1874534091430942
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,20,1.69631532600911,1,1.0922822974992177,0.89134926193931,1,5.85306987981312,9.150419670056552,0.6001071786540277,3.6890647595884936,1.3742566464172483
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,21,1.69631532600911,1,1.0922822974992177,0.89134926193931,1,5.85306987981312,9.150419670056552,0.6001071786540277,3.6890647595884936,1.3742566464172483
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,22,1.69631532600911,1,1.0922822974992177,0.89134926193931,1,5.85306987981312,9.150419670056552,0.6001071786540277,3.6890647595884936,1.3742566464172483
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,23,1.4179548630572643,1,1.021861604100486,0.1610793828062987,1,5.577509460615978,6.880661150198889,0.4440874235000248,5.529594021302759,0.26822965338150073
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,24,1.4179548630572643,1,1.021861604100486,0.1610793828062987,1,5.577509460615978,6.880661150198889,0.4440874235000248,5.529594021302759,0.26822965338150073
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,25,1.4179548630572643,1,1.021861604100486,0.1610793828062987,1,5.577509460615978,6.880661150198889,0.4440874235000248,5.529594021302759,0.26822965338150073
67,DFT_CRT,time_and_value_scaling,wide,DEoptimR,26,1.4179548630572643,1,1.021861604100486,0.1610793828062987,1,5.577509460615978,6.880661150198889,0.4440874235000248,5.529594021302759,0.26822965338150073
