participant_id,model,parameterization,bound_settings,algorithm,frame,auc,norm_auc
65,DDM,value_scaling,wide,DEoptim,delay,3626.7315738543593,0.6510533184912036
65,DDM,value_scaling,wide,DEoptim,date,3828.3695864890665,0.6872503996885531
