participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa1,kappa2,kappa3,w,theta_star,t0
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,1,0.27183388640172784,1,1.528125922428444,1.2749285810557196,1,2.960419876035303,9.275345837231725,0.943275552279884,2.152112231298815,0.24050598600879314
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,2,0.27183388640172784,1,1.528125922428444,1.2749285810557196,1,2.960419876035303,9.288025524001569,0.943275552279884,2.152112231298815,0.24050598600879314
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,3,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,4,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,5,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,6,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,7,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,8,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,9,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,10,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,11,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,12,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,1.2981719290837646,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,13,2.88189376444323,1,1.9898927689064294,0.1902061708713882,1,9.185536736622453,7.2857512747868896,0.03568251020423603,2.205709030106201,0.5276778176659719
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,14,2.033611131456122,1,1.850993443533048,0.5793299316009508,1,4.513824000198394,1.2279701954685152,0.26646624151578174,2.8359332510506756,0.9612596276034602
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,15,2.033611131456122,1,1.850993443533048,0.5793299316009508,1,4.513824000198394,1.2279701954685152,0.26646624151578174,2.8359332510506756,0.9612596276034602
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,16,2.033611131456122,1,1.850993443533048,0.5793299316009508,1,4.513824000198394,1.2279701954685152,0.26646624151578174,2.8359332510506756,0.9612596276034602
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,17,2.033611131456122,1,1.850993443533048,0.5793299316009508,1,4.513824000198394,1.2279701954685152,0.26646624151578174,2.8359332510506756,0.9612596276034602
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,18,0.27183388640172784,1,1.528125922428444,1.2749285810557196,1,6.7783578764647245,5.411518089678139,0.943275552279884,2.152112231298815,1.14273712451905
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,19,0.27183388640172784,1,1.528125922428444,1.2749285810557196,1,6.7783578764647245,5.411518089678139,0.943275552279884,2.152112231298815,1.14273712451905
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,20,0.23804747505719437,1,1.535656111969963,1.2749285810557196,1,6.7783578764647245,5.411518089678139,0.943275552279884,2.152112231298815,1.14273712451905
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,21,1.852865331133362,1,2.333878888257712,0.623246677407099,1,6.128021094994991,7.283089386392384,0.23341537311279217,2.8418628965005115,1.0842723115451198
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,22,1.852865331133362,1,2.333878888257712,0.623246677407099,1,6.128021094994991,7.283089386392384,0.23341537311279217,2.8418628965005115,1.0842723115451198
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,23,1.852865331133362,1,2.333878888257712,0.623246677407099,1,6.128021094994991,7.283089386392384,0.23341537311279217,2.8418628965005115,1.0842723115451198
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,24,1.852865331133362,1,2.333878888257712,0.623246677407099,1,6.128021094994991,7.283089386392384,0.23341537311279217,2.8418628965005115,1.0842723115451198
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,25,1.852865331133362,1,1.7762978771823197,0.623246677407099,1,6.128021094994991,7.283089386392384,0.23341537311279217,2.8418628965005115,1.0842723115451198
13,DFT_CRT,time_and_value_scaling,wide,DEoptim,26,1.852865331133362,1,1.7762978771823197,0.623246677407099,1,6.128021094994991,7.283089386392384,0.23341537311279217,2.8418628965005115,1.0842723115451198
