participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa,w,theta_star,t01,t02
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,1,1.9870827610162087,1,2.708770731696859,1.1503176341601649,1,0.14424150065369906,6.982802058982196,0.7035424362635241,0.10536817348329351
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,2,1.9870827610162087,1,2.708770731696859,1.1503176341601649,1,0.14424150065369906,6.982802058982196,0.7035424362635241,0.10536817348329351
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,3,0.2988334070174188,1,1.3867138808086596,0.10449680090460345,1,0.6133792222888343,5.334526375570391,1.2506010912833632,1.6013244068780292
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,4,0.2988334070174188,1,1.3867138808086596,0.10449680090460345,1,0.6133792222888343,5.334526375570391,1.2506010912833632,1.6013244068780292
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,5,0.2988334070174188,1,1.3867138808086596,0.10449680090460345,1,0.6133792222888343,5.334526375570391,1.2506010912833632,1.6013244068780292
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,6,0.2988334070174188,1,1.3867138808086596,0.10449680090460345,1,0.6133792222888343,5.334526375570391,1.2506010912833632,1.6013244068780292
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,7,2.49320416491148,1,0.673788666917609,0.7902638640381161,1,0.1044091377265579,3.4807499802963564,0.550564103494709,0.5207451590392549
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,8,1.28451017181113,1,1.0453066303516976,0.5699349993823082,1,0.1933522142685418,3.373925295554242,1.5434564851724542,1.7063991736969601
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,9,1.28451017181113,1,1.0453066303516976,0.5699349993823082,1,0.1933522142685418,3.373925295554242,1.5434564851724542,1.7063991736969601
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,10,1.28451017181113,1,1.0453066303516976,0.5699349993823082,1,0.1933522142685418,3.373925295554242,1.5434564851724542,1.7063991736969601
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,11,1.28451017181113,1,1.0453066303516976,0.5699349993823082,1,0.1933522142685418,3.373925295554242,1.5434564851724542,1.7063991736969601
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,12,1.28451017181113,1,1.0453066303516976,0.5699349993823082,1,0.1933522142685418,3.373925295554242,1.5434564851724542,1.7063991736969601
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,13,1.28451017181113,1,1.0453066303516976,0.5699349993823082,1,0.1933522142685418,3.373925295554242,1.5434564851724542,1.7063991736969601
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,14,0.5250722994942515,1,1.2915063790400776,0.3417630655750553,1,0.6286305820031114,3.7811806107495043,1.1410061850678963,1.7665575290465305
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,15,0.5250722994942515,1,1.2915063790400776,0.3417630655750553,1,0.6286305820031114,3.7811806107495043,1.1410061850678963,1.7665575290465305
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,16,0.5250722994942515,1,1.2915063790400776,0.3417630655750553,1,0.6286305820031114,3.7811806107495043,1.1410061850678963,1.7665575290465305
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,17,0.5250722994942515,1,1.2915063790400776,0.3417630655750553,1,0.6286305820031114,3.7811806107495043,1.1410061850678963,1.7665575290465305
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,18,0.5250722994942515,1,1.2915063790400776,0.3417630655750553,1,0.6286305820031114,3.7811806107495043,1.1410061850678963,1.7665575290465305
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,19,0.5250722994942515,1,1.3243035599950548,0.3417630655750553,1,0.6286305820031114,3.7811806107495043,1.3413731734362466,1.7665575290465305
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,20,0.5250722994942515,1,1.3243035599950548,0.3417630655750553,1,0.6286305820031114,3.7811806107495043,1.3413731734362466,1.7665575290465305
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,21,0.5250722994942515,1,1.3243035599950548,0.3417630655750553,1,0.6286305820031114,3.7811806107495043,1.3413731734362466,1.7665575290465305
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,22,1.1784279383415424,1,1.5246124756023451,0.7169620188023128,1,0.36582125452799374,5.420626837957432,1.2380991934785281,0.7083243926283065
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,23,1.1784279383415424,1,1.5246124756023451,0.7169620188023128,1,0.36582125452799374,5.420626837957432,1.2380991934785281,0.7083243926283065
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,24,1.1784279383415424,1,1.5246124756023451,0.7169620188023128,1,0.36582125452799374,5.420626837957432,1.2380991934785281,0.7083243926283065
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,25,1.1784279383415424,1,1.5246124756023451,0.7169620188023128,1,0.36582125452799374,5.420626837957432,1.2380991934785281,0.7083243926283065
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,26,1.1784279383415424,1,1.5246124756023451,0.7169620188023128,1,0.36582125452799374,5.420626837957432,1.2380991934785281,0.7083243926283065
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,27,1.1784279383415424,1,1.5246124756023451,0.7169620188023128,1,0.36582125452799374,5.420626837957432,1.2380991934785281,0.7083243926283065
56,DFT_CRT,value_scaling_t0,wide,DEoptimR,28,1.1784279383415424,1,1.1407657737852794,0.7169620188023128,1,0.36582125452799374,5.420626837957432,1.2380991934785281,0.7083243926283065
