participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa,w,theta_star,t01,t02,t03
46,DFT_CRT,value_scaling_t0,wide,DEoptim,1,1.5292092230101118,1,0.7911312240175903,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,2,1.9939673118987122,1,0.7911312240175903,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,3,1.9939673118987122,1,0.7911312240175903,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,4,1.9939673118987122,1,0.7911312240175903,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,5,1.9939673118987122,1,0.7911312240175903,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,6,1.9939673118987122,1,0.7911312240175903,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,7,1.9939673118987122,1,0.7911312240175903,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,8,1.9939673118987122,1,1.499497042503208,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,9,1.9939673118987122,1,1.499497042503208,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,10,1.9939673118987122,1,1.499497042503208,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,11,1.9939673118987122,1,1.499497042503208,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,12,1.9939673118987122,1,1.499497042503208,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,13,1.9939673118987122,1,1.499497042503208,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,14,1.9939673118987122,1,1.499497042503208,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,15,1.9939673118987122,1,1.499497042503208,1.07250375776086,1,0.40189064985550016,2.8368822333542627,1.197268190677278,1.3135357988532634,0.3135034580132924
46,DFT_CRT,value_scaling_t0,wide,DEoptim,16,1.9056757001159714,1,1.7313823557458818,0.7590614877697083,1,0.092143340977129,3.984508119523525,1.212869059248995,0.3110272745462137,0.5628067697724327
46,DFT_CRT,value_scaling_t0,wide,DEoptim,17,1.9056757001159714,1,1.7313823557458818,0.7590614877697083,1,0.092143340977129,3.984508119523525,1.212869059248995,0.3110272745462137,0.5628067697724327
46,DFT_CRT,value_scaling_t0,wide,DEoptim,18,1.9056757001159714,1,1.7313823557458818,0.7590614877697083,1,0.092143340977129,3.984508119523525,1.212869059248995,0.3110272745462137,0.5628067697724327
46,DFT_CRT,value_scaling_t0,wide,DEoptim,19,1.9056757001159714,1,1.7313823557458818,0.7590614877697083,1,0.092143340977129,3.984508119523525,1.212869059248995,0.3110272745462137,0.5628067697724327
46,DFT_CRT,value_scaling_t0,wide,DEoptim,20,1.9056757001159714,1,1.7313823557458818,0.7590614877697083,1,0.092143340977129,3.984508119523525,1.212869059248995,0.3110272745462137,0.5628067697724327
46,DFT_CRT,value_scaling_t0,wide,DEoptim,21,1.9056757001159714,1,1.7313823557458818,0.7590614877697083,1,0.092143340977129,3.984508119523525,1.212869059248995,0.3110272745462137,0.5628067697724327
46,DFT_CRT,value_scaling_t0,wide,DEoptim,22,1.9056757001159714,1,1.7313823557458818,0.7590614877697083,1,0.092143340977129,3.984508119523525,1.212869059248995,0.3110272745462137,0.5628067697724327
46,DFT_CRT,value_scaling_t0,wide,DEoptim,23,1.4047061349692596,1,1.2893510735593736,0.24131266657467565,1,0.16648484626479132,4.0710326512996104,1.1570055528046086,1.2883688745096378,1.170904095361269
46,DFT_CRT,value_scaling_t0,wide,DEoptim,24,1.4047061349692596,1,1.2893510735593736,0.24131266657467565,1,0.16648484626479132,4.0710326512996104,1.1570055528046086,1.2883688745096378,1.170904095361269
46,DFT_CRT,value_scaling_t0,wide,DEoptim,25,2.910288094123459,1,1.676369860133261,1.07250375776086,1,0.126667537180651,2.8368822333542627,1.197268190677278,1.3135357988532634,1.3130504976853987
46,DFT_CRT,value_scaling_t0,wide,DEoptim,26,2.910288094123459,1,1.676369860133261,1.07250375776086,1,0.126667537180651,2.8368822333542627,1.197268190677278,1.3135357988532634,1.3130504976853987
46,DFT_CRT,value_scaling_t0,wide,DEoptim,27,2.910288094123459,1,1.676369860133261,1.07250375776086,1,0.126667537180651,2.8368822333542627,1.197268190677278,1.3135357988532634,1.3130504976853987
46,DFT_CRT,value_scaling_t0,wide,DEoptim,28,2.910288094123459,1,1.676369860133261,1.07250375776086,1,0.126667537180651,2.8368822333542627,1.197268190677278,1.3135357988532634,1.3130504976853987
46,DFT_CRT,value_scaling_t0,wide,DEoptim,29,2.910288094123459,1,1.676369860133261,1.8010553569094578,1,0.126667537180651,2.8368822333542627,1.197268190677278,1.3135357988532634,1.3130504976853987
46,DFT_CRT,value_scaling_t0,wide,DEoptim,30,2.910288094123459,1,1.676369860133261,1.8010553569094578,1,0.126667537180651,2.8368822333542627,1.197268190677278,1.3135357988532634,1.3130504976853987
46,DFT_CRT,value_scaling_t0,wide,DEoptim,31,2.910288094123459,1,1.676369860133261,1.8010553569094578,1,0.126667537180651,2.8368822333542627,1.197268190677278,1.3135357988532634,1.3130504976853987
