participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu,beta,kappa1,kappa2,kappa3,w,a,t0
13,DDM,time_scaling,wide,DEoptimR,1,0.63786008117022,1,0.1871429242216982,1,2.6659884257242084,6.248457720503211,0.8881779725428578,4.143370914879256,0.5489654538105242
13,DDM,time_scaling,wide,DEoptimR,2,0.63786008117022,1,0.1871429242216982,1,2.6659884257242084,6.248457720503211,0.8881779725428578,4.143370914879256,0.5489654538105242
13,DDM,time_scaling,wide,DEoptimR,3,0.63786008117022,1,0.1871429242216982,1,2.6659884257242084,6.248457720503211,0.8881779725428578,4.143370914879256,0.5489654538105242
13,DDM,time_scaling,wide,DEoptimR,4,0.63786008117022,1,0.1871429242216982,1,2.6659884257242084,6.248457720503211,0.8881779725428578,4.143370914879256,0.5489654538105242
13,DDM,time_scaling,wide,DEoptimR,5,0.63786008117022,1,0.1871429242216982,1,2.6659884257242084,6.248457720503211,0.8881779725428578,4.143370914879256,0.5489654538105242
13,DDM,time_scaling,wide,DEoptimR,6,0.5314511169782408,1,0.38968627713627724,1,3.094581092143846,2.9947782199872544,0.7913750373691087,8.365421012297235,1.0108726621811033
13,DDM,time_scaling,wide,DEoptimR,7,0.5390235562217662,1,0.21149730805797162,1,6.071854302058248,1.2050124447811679,0.696307219760125,5.833315078599075,1.220525775962099
13,DDM,time_scaling,wide,DEoptimR,8,0.5314511169782408,1,0.38968627713627724,1,3.094581092143846,2.9947782199872544,0.7913750373691087,8.365421012297235,1.0108726621811033
13,DDM,time_scaling,wide,DEoptimR,9,0.5314511169782408,1,0.38968627713627724,1,3.094581092143846,2.9947782199872544,0.7913750373691087,8.365421012297235,1.0108726621811033
13,DDM,time_scaling,wide,DEoptimR,10,0.5314511169782408,1,0.38968627713627724,1,3.094581092143846,2.9947782199872544,0.7913750373691087,8.365421012297235,1.0108726621811033
13,DDM,time_scaling,wide,DEoptimR,11,0.5314511169782408,1,0.12049390802642357,1,3.094581092143846,2.9947782199872544,0.7913750373691087,8.365421012297235,1.0108726621811033
13,DDM,time_scaling,wide,DEoptimR,12,0.5314511169782408,1,0.12049390802642357,1,3.094581092143846,2.9947782199872544,0.7913750373691087,8.365421012297235,1.0108726621811033
13,DDM,time_scaling,wide,DEoptimR,13,0.643307804430344,1,0.27801997016856916,1,2.877464534963264,1.4224550178198365,0.5889254878847314,6.534143220507513,0.3420323219959194
13,DDM,time_scaling,wide,DEoptimR,14,0.9419744133375847,1,0.09147463310229427,1,1.1526806973156085,1.031876253401983,0.15767398121094225,7.494804894479999,0.12301872511178447
13,DDM,time_scaling,wide,DEoptimR,15,0.9419744133375847,1,0.09147463310229427,1,1.1526806973156085,1.031876253401983,0.15767398121094225,7.494804894479999,0.12301872511178447
13,DDM,time_scaling,wide,DEoptimR,16,0.9419744133375847,1,0.09147463310229427,1,1.1526806973156085,1.031876253401983,0.15767398121094225,7.494804894479999,0.12301872511178447
13,DDM,time_scaling,wide,DEoptimR,17,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,18,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,19,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,20,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
