participant_id,model,parameterization,bound_settings,algorithm,frame,auc,norm_auc
52,DFT_CRT,time_and_value_scaling_t0,wide,DEoptim,delay,4393.966155457859,0.7887835613399476
52,DFT_CRT,time_and_value_scaling_t0,wide,DEoptim,date,4459.454774619666,0.8005397616432935
