participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu1,mu2,beta,kappa1,kappa2,kappa3,w,theta_star,t01,t02,t03
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,1,2.6012490106071344,1,1.6471392391249537,1.9870827610162087,1,4.918055264350914,5.69523641215731,0.4127380118741582,6.982802058982196,0.7035424362635241,1.136991266015684,0.5747099866392091
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,2,2.7055913602213573,1,0.8557848396969361,1.8286362411880643,1,6.185302265221253,3.239469570873701,0.5695336210863445,16.705146558813286,0.9781924912678865,0.9944417930355316,1.5136111499675815
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,3,2.7055913602213573,1,0.8557848396969361,1.8286362411880643,1,6.185302265221253,3.239469570873701,0.5695336210863445,16.705146558813286,0.9781924912678865,0.9944417930355316,1.5136111499675815
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,4,2.540365930974925,1,0.8557848396969361,1.8286362411880643,1,6.185302265221253,3.239469570873701,0.5695336210863445,16.705146558813286,0.9781924912678865,0.9944417930355316,1.5052946012789878
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,5,2.540365930974925,1,0.8557848396969361,1.8286362411880643,1,6.185302265221253,3.239469570873701,0.5695336210863445,16.705146558813286,0.9781924912678865,0.9944417930355316,1.5052946012789878
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,6,2.540365930974925,1,0.8557848396969361,1.8286362411880643,1,6.185302265221253,3.239469570873701,0.5695336210863445,16.705146558813286,0.9781924912678865,0.9944417930355316,1.5052946012789878
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,7,1.251517091520312,1,1.5540542498052339,0.3517825944483105,1,2.7617959462894035,3.748980221135028,0.43603077830710435,1.3199832776049938,0.7156691484875435,1.4971400431911368,0.7206924537647027
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,8,2.9003122526517835,1,1.360939904814586,1.9097775829872357,1,1.0751802753657103,3.2328629517349605,0.22361685722275174,7.528174207264091,0.890406402322275,0.9898788899959472,1.1428600513492713
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,9,2.9003122526517835,1,1.360939904814586,1.9097775829872357,1,1.0751802753657103,3.2328629517349605,0.22361685722275174,7.528174207264091,0.890406402322275,0.9898788899959472,1.1428600513492713
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,10,2.9003122526517835,1,1.360939904814586,1.9097775829872357,1,1.0751802753657103,3.2328629517349605,0.22361685722275174,7.528174207264091,0.890406402322275,0.9898788899959472,1.1428600513492713
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,11,2.540365930974925,1,0.8557848396969361,1.8286362411880643,1,6.185302265221253,3.239469570873701,0.5695336210863445,12.279211846105163,0.9781924912678865,0.9944417930355316,1.5052946012789878
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,12,2.0089119004509346,1,0.9304463515099873,1.3601638432872845,1,1.5534801021786884,7.308622943595861,0.6857000882473402,4.527887725902573,0.0802582241911125,0.9615494791491994,1.205459289238807
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,13,2.0089119004509346,1,0.9304463515099873,1.3601638432872845,1,1.5534801021786884,7.308622943595861,0.6857000882473402,4.527887725902573,0.0802582241911125,0.9615494791491994,1.205459289238807
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,14,2.0089119004509346,1,0.9304463515099873,1.3601638432872845,1,1.5534801021786884,7.308622943595861,0.6857000882473402,4.527887725902573,0.0802582241911125,0.9615494791491994,1.205459289238807
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,15,2.0089119004509346,1,0.9304463515099873,1.3601638432872845,1,1.5534801021786884,7.308622943595861,0.6857000882473402,4.527887725902573,0.0802582241911125,0.9615494791491994,1.205459289238807
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,16,2.0089119004509346,1,0.9304463515099873,1.3601638432872845,1,1.5534801021786884,7.308622943595861,0.6857000882473402,4.527887725902573,0.0802582241911125,0.9615494791491994,1.205459289238807
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,17,2.9507397461706955,1,0.9373653833038552,2.1604236707481634,1,6.218714505129374,7.425035411677768,0.8584991763150415,14.324524847393011,0.3310781127684189,0.07708043760459238,0.7223112885308303
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,18,1.8067827017026419,1,1.4803796542737993,0.938318334905045,1,0.5375901376828551,9.133433121225861,0.11181342861137587,3.7690871036320455,0.36807982664225175,1.3107951480578253,1.4051921928840234
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,19,1.251517091520312,1,1.2555132578866832,0.3517825944483105,1,2.7617959462894035,3.748980221135028,0.43603077830710435,1.3199832776049938,0.7156691484875435,1.4971400431911368,1.315618382384433
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,20,1.8067827017026419,1,1.4803796542737993,0.938318334905045,1,0.5375901376828551,9.133433121225861,0.11181342861137587,3.7690871036320455,0.36807982664225175,1.3107951480578253,1.4051921928840234
32,DFT_CRT,time_and_value_scaling_t0,wide,DEoptimR,21,1.251517091520312,1,1.2555132578866832,0.3517825944483105,1,2.7617959462894035,3.748980221135028,0.43603077830710435,1.3199832776049938,0.7156691484875435,1.4971400431911368,1.315618382384433
