participant_id,frame,t_l,m_s_cat,p_ll,m_s
84,delay,2,below_ip,1,41.48
84,delay,2,at_ip,1,41.82
84,delay,2,above_ip,1,42.16
84,delay,4,below_ip,1,40.46
84,delay,4,at_ip,1,41.14
84,delay,4,above_ip,1,41.82
84,delay,8,below_ip,0.5,37.4
84,delay,8,at_ip,0,38.42
84,delay,8,above_ip,0,39.44
84,delay,16,below_ip,0.75,34.34
84,delay,16,at_ip,0.25,35.7
84,delay,16,above_ip,0,37.06
84,delay,32,below_ip,0,30.6
84,delay,32,at_ip,0.5,32.3
84,delay,32,above_ip,0,34
84,delay,64,below_ip,0,20.06
84,delay,64,at_ip,0,22.1
84,delay,64,above_ip,0,24.14
84,delay,128,below_ip,0,11.56
84,delay,128,at_ip,0,13.94
84,delay,128,above_ip,0,16.32
84,date,2,below_ip,1,41.48
84,date,2,at_ip,1,41.82
84,date,2,above_ip,1,42.16
84,date,4,below_ip,1,40.46
84,date,4,at_ip,1,41.14
84,date,4,above_ip,1,41.82
84,date,8,below_ip,1,37.4
84,date,8,at_ip,1,38.42
84,date,8,above_ip,1,39.44
84,date,16,below_ip,0.25,34.34
84,date,16,at_ip,0,35.7
84,date,16,above_ip,0.25,37.06
84,date,32,below_ip,0,30.6
84,date,32,at_ip,0,32.3
84,date,32,above_ip,0,34
84,date,64,below_ip,0,20.06
84,date,64,at_ip,0,22.1
84,date,64,above_ip,0,24.14
84,date,128,below_ip,0,11.56
84,date,128,at_ip,0,13.94
84,date,128,above_ip,0,16.32
