participant_id,frame,t_l,m_s_cat,p_ll,m_s
68,delay,2,below_ip,1,37.4
68,delay,2,at_ip,1,37.74
68,delay,2,above_ip,1,38.080000000000005
68,delay,4,below_ip,1,37.06
68,delay,4,at_ip,1,37.74
68,delay,4,above_ip,1,38.42
68,delay,8,below_ip,1,38.08
68,delay,8,at_ip,0.75,39.1
68,delay,8,above_ip,0.5,40.120000000000005
68,delay,16,below_ip,1,37.06
68,delay,16,at_ip,1,38.42
68,delay,16,above_ip,0.6666666666666666,39.78
68,delay,32,below_ip,0.5,37.4
68,delay,32,at_ip,0,39.1
68,delay,32,above_ip,0.25,40.800000000000004
68,delay,64,below_ip,1,35.7
68,delay,64,at_ip,0.5,37.74
68,delay,64,above_ip,0,39.78
68,delay,128,below_ip,0.25,36.72
68,delay,128,at_ip,0,39.1
68,delay,128,above_ip,0,41.480000000000004
68,date,2,below_ip,1,37.4
68,date,2,at_ip,1,37.74
68,date,2,above_ip,1,38.080000000000005
68,date,4,below_ip,1,37.06
68,date,4,at_ip,1,37.74
68,date,4,above_ip,1,38.42
68,date,8,below_ip,1,38.08
68,date,8,at_ip,0.75,39.1
68,date,8,above_ip,0.5,40.120000000000005
68,date,16,below_ip,1,37.06
68,date,16,at_ip,1,38.42
68,date,16,above_ip,0.25,39.78
68,date,32,below_ip,1,37.4
68,date,32,at_ip,0,39.1
68,date,32,above_ip,0,40.800000000000004
68,date,64,below_ip,1,35.7
68,date,64,at_ip,0.25,37.74
68,date,64,above_ip,0.25,39.78
68,date,128,below_ip,0.5,36.72
68,date,128,at_ip,0,39.1
68,date,128,above_ip,0,41.480000000000004
