participant_id,frame,t_l,m_s_cat,p_ll,m_s
64,neutral,2,below_ip,1,39.44
64,neutral,2,at_ip,1,39.78
64,neutral,2,above_ip,1,40.120000000000005
64,neutral,4,below_ip,1,37.06
64,neutral,4,at_ip,1,37.74
64,neutral,4,above_ip,1,38.42
64,neutral,8,below_ip,1,35.36
64,neutral,8,at_ip,1,36.38
64,neutral,8,above_ip,1,37.400000000000006
64,neutral,16,below_ip,1,38.42
64,neutral,16,at_ip,1,39.78
64,neutral,16,above_ip,0.25,41.14
64,neutral,32,below_ip,1,38.08
64,neutral,32,at_ip,0.75,39.78
64,neutral,32,above_ip,0.25,41.480000000000004
64,neutral,64,below_ip,1,37.74
64,neutral,64,at_ip,0.75,39.78
64,neutral,64,above_ip,0,41.82
64,neutral,128,below_ip,0.75,36.72
64,neutral,128,at_ip,0.75,39.1
64,neutral,128,above_ip,0,41.480000000000004
64,defer,2,below_ip,1,39.44
64,defer,2,at_ip,1,39.78
64,defer,2,above_ip,1,40.120000000000005
64,defer,4,below_ip,1,37.06
64,defer,4,at_ip,1,37.74
64,defer,4,above_ip,1,38.42
64,defer,8,below_ip,1,35.36
64,defer,8,at_ip,1,36.38
64,defer,8,above_ip,1,37.400000000000006
64,defer,16,below_ip,1,38.42
64,defer,16,at_ip,1,39.78
64,defer,16,above_ip,0.5,41.14
64,defer,32,below_ip,1,38.08
64,defer,32,at_ip,1,39.78
64,defer,32,above_ip,0.5,41.480000000000004
64,defer,64,below_ip,1,37.74
64,defer,64,at_ip,0.75,39.78
64,defer,64,above_ip,0.25,41.82
64,defer,128,below_ip,1,36.72
64,defer,128,at_ip,0.5,39.1
64,defer,128,above_ip,0,41.480000000000004
64,speedup,2,below_ip,1,39.44
64,speedup,2,at_ip,1,39.78
64,speedup,2,above_ip,1,40.120000000000005
64,speedup,4,below_ip,1,37.06
64,speedup,4,at_ip,1,37.74
64,speedup,4,above_ip,1,38.42
64,speedup,8,below_ip,1,35.36
64,speedup,8,at_ip,1,36.38
64,speedup,8,above_ip,1,37.400000000000006
64,speedup,16,below_ip,1,38.42
64,speedup,16,at_ip,1,39.78
64,speedup,16,above_ip,0.5,41.14
64,speedup,32,below_ip,1,38.08
64,speedup,32,at_ip,1,39.78
64,speedup,32,above_ip,0,41.480000000000004
64,speedup,64,below_ip,1,37.74
64,speedup,64,at_ip,0.75,39.78
64,speedup,64,above_ip,0,41.82
64,speedup,128,below_ip,1,36.72
64,speedup,128,at_ip,1,39.1
64,speedup,128,above_ip,0,41.480000000000004
