participant_id,frame,t_l,m_s_cat,p_ll,m_s
47,neutral,2,below_ip,1,41.48
47,neutral,2,at_ip,1,41.82
47,neutral,2,above_ip,1,42.160000000000004
47,neutral,4,below_ip,1,39.1
47,neutral,4,at_ip,0.75,39.78
47,neutral,4,above_ip,1,40.46
47,neutral,8,below_ip,1,37.4
47,neutral,8,at_ip,0.6666666666666666,38.42
47,neutral,8,above_ip,1,39.440000000000005
47,neutral,16,below_ip,1,30.939999999999998
47,neutral,16,at_ip,1,32.3
47,neutral,16,above_ip,1,33.66
47,neutral,32,below_ip,1,31.960000000000004
47,neutral,32,at_ip,1,33.660000000000004
47,neutral,32,above_ip,1,35.36000000000001
47,neutral,64,below_ip,0.5,31.620000000000005
47,neutral,64,at_ip,1,33.660000000000004
47,neutral,64,above_ip,1,35.7
47,neutral,128,below_ip,1,16.32
47,neutral,128,at_ip,1,18.7
47,neutral,128,above_ip,1,21.08
47,defer,2,below_ip,1,41.48
47,defer,2,at_ip,1,41.82
47,defer,2,above_ip,1,42.160000000000004
47,defer,4,below_ip,1,39.1
47,defer,4,at_ip,1,39.78
47,defer,4,above_ip,1,40.46
47,defer,8,below_ip,1,37.4
47,defer,8,at_ip,1,38.42
47,defer,8,above_ip,0.75,39.440000000000005
47,defer,16,below_ip,1,30.939999999999998
47,defer,16,at_ip,1,32.3
47,defer,16,above_ip,1,33.66
47,defer,32,below_ip,1,31.960000000000004
47,defer,32,at_ip,1,33.660000000000004
47,defer,32,above_ip,0.75,35.36000000000001
47,defer,64,below_ip,1,31.620000000000005
47,defer,64,at_ip,0.75,33.660000000000004
47,defer,64,above_ip,0.25,35.7
47,defer,128,below_ip,1,16.32
47,defer,128,at_ip,1,18.7
47,defer,128,above_ip,1,21.08
47,speedup,2,below_ip,0.75,41.48
47,speedup,2,at_ip,0.75,41.82
47,speedup,2,above_ip,0.75,42.160000000000004
47,speedup,4,below_ip,1,39.1
47,speedup,4,at_ip,0.75,39.78
47,speedup,4,above_ip,1,40.46
47,speedup,8,below_ip,0.75,37.4
47,speedup,8,at_ip,0.75,38.42
47,speedup,8,above_ip,0.5,39.440000000000005
47,speedup,16,below_ip,1,30.939999999999998
47,speedup,16,at_ip,1,32.3
47,speedup,16,above_ip,1,33.66
47,speedup,32,below_ip,1,31.960000000000004
47,speedup,32,at_ip,0.5,33.660000000000004
47,speedup,32,above_ip,0.75,35.36000000000001
47,speedup,64,below_ip,0.75,31.620000000000005
47,speedup,64,at_ip,0.75,33.660000000000004
47,speedup,64,above_ip,0.25,35.7
47,speedup,128,below_ip,1,16.32
47,speedup,128,at_ip,1,18.7
47,speedup,128,above_ip,1,21.08
