participant_id,frame,t_l,m_s_cat,p_ll,m_s
6,delay,2,below_ip,1,41.48
6,delay,2,at_ip,1,41.82
6,delay,2,above_ip,1,42.160000000000004
6,delay,4,below_ip,1,40.459999999999994
6,delay,4,at_ip,1,41.13999999999999
6,delay,4,above_ip,1,41.81999999999999
6,delay,8,below_ip,1,40.8
6,delay,8,at_ip,1,41.82
6,delay,8,above_ip,0.5,42.84
6,delay,16,below_ip,1,38.42
6,delay,16,at_ip,1,39.78
6,delay,16,above_ip,0.75,41.14
6,delay,32,below_ip,1,30.599999999999998
6,delay,32,at_ip,1,32.3
6,delay,32,above_ip,1,34
6,delay,64,below_ip,1,33.660000000000004
6,delay,64,at_ip,1,35.7
6,delay,64,above_ip,1,37.74
6,delay,128,below_ip,1,33.32
6,delay,128,at_ip,1,35.7
6,delay,128,above_ip,0.75,38.080000000000005
6,date,2,below_ip,1,41.48
6,date,2,at_ip,1,41.82
6,date,2,above_ip,1,42.160000000000004
6,date,4,below_ip,1,40.459999999999994
6,date,4,at_ip,1,41.13999999999999
6,date,4,above_ip,1,41.81999999999999
6,date,8,below_ip,1,40.8
6,date,8,at_ip,0.5,41.82
6,date,8,above_ip,0,42.84
6,date,16,below_ip,1,38.42
6,date,16,at_ip,1,39.78
6,date,16,above_ip,0.25,41.14
6,date,32,below_ip,1,30.599999999999998
6,date,32,at_ip,1,32.3
6,date,32,above_ip,1,34
6,date,64,below_ip,1,33.660000000000004
6,date,64,at_ip,1,35.7
6,date,64,above_ip,1,37.74
6,date,128,below_ip,1,33.32
6,date,128,at_ip,0.25,35.7
6,date,128,above_ip,0,38.080000000000005
