participant_id,frame,t_l,m_s_cat,p_ll,m_s
65,delay,2,below_ip,1,40.79999999999999
65,delay,2,at_ip,1,41.13999999999999
65,delay,2,above_ip,1,41.48
65,delay,4,below_ip,1,31.619999999999997
65,delay,4,at_ip,0.6666666666666666,32.3
65,delay,4,above_ip,1,32.98
65,delay,8,below_ip,1,29.240000000000002
65,delay,8,at_ip,1,30.26
65,delay,8,above_ip,1,31.28
65,delay,16,below_ip,1,28.900000000000002
65,delay,16,at_ip,0.75,30.26
65,delay,16,above_ip,0.5,31.62
65,delay,32,below_ip,0.5,28.560000000000002
65,delay,32,at_ip,0,30.26
65,delay,32,above_ip,0,31.96
65,delay,64,below_ip,1,26.18
65,delay,64,at_ip,0.25,28.22
65,delay,64,above_ip,0,30.259999999999998
65,delay,128,below_ip,1,18.36
65,delay,128,at_ip,1,20.74
65,delay,128,above_ip,0,23.119999999999997
65,date,2,below_ip,1,40.79999999999999
65,date,2,at_ip,1,41.13999999999999
65,date,2,above_ip,1,41.48
65,date,4,below_ip,1,31.619999999999997
65,date,4,at_ip,1,32.3
65,date,4,above_ip,1,32.98
65,date,8,below_ip,1,29.240000000000002
65,date,8,at_ip,1,30.26
65,date,8,above_ip,1,31.28
65,date,16,below_ip,1,28.900000000000002
65,date,16,at_ip,1,30.26
65,date,16,above_ip,1,31.62
65,date,32,below_ip,1,28.560000000000002
65,date,32,at_ip,0.75,30.26
65,date,32,above_ip,1,31.96
65,date,64,below_ip,0.5,26.18
65,date,64,at_ip,0.75,28.22
65,date,64,above_ip,0.25,30.259999999999998
65,date,128,below_ip,1,18.36
65,date,128,at_ip,0.5,20.74
65,date,128,above_ip,0.75,23.119999999999997
