participant_id,key,value
9,alpha,1.152185734710635
9,beta,0.6860157238347622
9,kappa2,2.0467817750390997
9,kappa3,2.495393974475048
9,w,0.5614893400183992
9,theta_star,3.927433639069196
9,t0,1.2176531621491673
11,alpha,0.7459205924278244
11,beta,0.37300997602955577
11,kappa2,0.5589140295429808
11,kappa3,1.256010740547494
11,w,0.8981792351929364
11,theta_star,2.302990156320001
11,t0,1.3859835872658086
13,alpha,0.45166508189340693
13,beta,0.010000001430505383
13,kappa2,0.9449097066548521
13,kappa3,0.6257419979631847
13,w,0.5934569449416329
13,theta_star,2.3092619161790684
13,t0,1.3525067573451048
15,alpha,2.2802810776308227
15,beta,1.405803159420991
15,kappa2,5.958112053676312
15,kappa3,0.02420693646349719
15,w,0.6019259091806457
15,theta_star,3.9984366064115817
15,t0,1.2051195157364274
19,alpha,0.9729338349666697
19,beta,0.4283837270032165
19,kappa2,7.8329401918331865
19,kappa3,1.2339096519703379
19,w,0.7162708832219632
19,theta_star,3.0668639531546815
19,t0,1.301805280354836
21,alpha,0.42008574595737724
21,beta,0.5978965057830017
21,kappa2,1.000000028369949
21,kappa3,1.000000035110021
21,w,0.8679342083496436
21,theta_star,2.9544887629725456
21,t0,1.3653602801990232
24,alpha,0.8673670264246751
24,beta,0.5578029142040757
24,kappa2,1.2563728701990975
24,kappa3,1.1154709110255057
24,w,0.8313299947776446
24,theta_star,3.0335723542349147
24,t0,1.3361382133182078
26,alpha,1.1927318928822814
26,beta,0.4287989114206357
26,kappa2,2.0609794269639616
26,kappa3,1.2542205965065003
26,w,0.4977404276650388
26,theta_star,3.120492108432413
26,t0,1.253538491915513
32,alpha,1.0428152117046152
32,beta,0.455244235279714
32,kappa2,2.649252639682244
32,kappa3,2.2610223936525427
32,w,0.7070762412430931
32,theta_star,3.736349821201697
32,t0,1.186927363676437
36,alpha,0.6613944522946693
36,beta,0.7627045954229221
36,kappa2,1.4195556128389688
36,kappa3,0.8475464092024507
36,w,0.8894503911001106
36,theta_star,3.409193328943149
36,t0,1.2339477478260867
37,alpha,0.9574771064347631
37,beta,0.5497830713137646
37,kappa2,4.0830017249628465
37,kappa3,0.8970601029612583
37,w,0.7259680120110962
37,theta_star,2.7464259743302897
37,t0,1.337341385509201
41,alpha,0.9590853996258845
41,beta,0.6894635581263837
41,kappa2,0.999999986409979
41,kappa3,0.754800800509966
41,w,0.5616915552298648
41,theta_star,2.652640814545704
41,t0,1.339069614782084
42,alpha,1.244294884946718
42,beta,1.0654069386765346
42,kappa2,1.2368292844697002
42,kappa3,1.1610678945832822
42,w,0.7652455787665342
42,theta_star,2.9390469446788186
42,t0,1.2715630331142818
45,alpha,0.8822844454715406
45,beta,0.8956783752860416
45,kappa2,1.1372921910112457
45,kappa3,1.1372921985398943
45,w,0.8367754692458166
45,theta_star,3.2801635238778335
45,t0,1.4237784441936059
46,alpha,1.0244555839667162
46,beta,0.7850195194676916
46,kappa2,1.6621654903027563
46,kappa3,0.8480098086714971
46,w,0.7177610770525217
46,theta_star,2.9225029902573363
46,t0,1.360135354482672
47,alpha,1.242229448895836
47,beta,0.649593309072984
47,kappa2,2.1160048376233043
47,kappa3,3.0398387058178105
47,w,0.7590419340267626
47,theta_star,2.467931880653351
47,t0,1.3754008180444175
49,alpha,1.6771892432860624
49,beta,1.2006370699645708
49,kappa2,2.497871792256013
49,kappa3,1.8125828871870058
49,w,0.7254108038404453
49,theta_star,2.5006819385354864
49,t0,1.311728345558514
51,alpha,1.0540231440033192
51,beta,0.7968564630861168
51,kappa2,1.0000003126432984
51,kappa3,0.4924835454518883
51,w,0.6264002890506272
51,theta_star,2.1767493412435157
51,t0,1.3714070522938724
55,alpha,1.6389186209594804
55,beta,1.21192848796427
55,kappa2,1.0241293913874143
55,kappa3,1.0241291611147052
55,w,0.5271815077783254
55,theta_star,3.579089473199138
55,t0,1.205172765178977
58,alpha,0.6123485313633733
58,beta,0.785176324328776
58,kappa2,1.0311536370900685
58,kappa3,1.0311536467808748
58,w,0.9109922794469916
58,theta_star,2.217527685099145
58,t0,1.3572397428519538
64,alpha,1.0840703702091894
64,beta,0.4688413617057705
64,kappa2,1.1591853160428975
64,kappa3,1.098711120276475
64,w,0.7040494316158851
64,theta_star,3.0010387459546353
64,t0,1.3414322295641592
67,alpha,1.1699352985776912
67,beta,0.7831037354821597
67,kappa2,0.8771382674728381
67,kappa3,1.219895376039956
67,w,0.7882402820043596
67,theta_star,3.697617967303371
67,t0,1.3120711228381736
69,alpha,0.3195393437893603
69,beta,0.6990464832886923
69,kappa2,0.777147599495802
69,kappa3,0.48571729117029677
69,w,0.9494972631184588
69,theta_star,3.005487266109522
69,t0,1.3503870912634792
86,alpha,2.2077394571536773
86,beta,1.6976963209017077
86,kappa2,1.0277061214195184
86,kappa3,1.0464367314379772
86,w,0.6372165224180905
86,theta_star,2.2349027391234126
86,t0,1.3867158672168258
87,alpha,0.8542043399992851
87,beta,0.24889636049846858
87,kappa2,0.8374665249603837
87,kappa3,1.2111948772536387
87,w,0.9204894810025451
87,theta_star,3.1568305927150058
87,t0,1.2961731883064616
88,alpha,0.01000000358685761
88,beta,0.4050897650481924
88,kappa2,0.9999993992338033
88,kappa3,0.005748794501921995
88,w,0.9365015028855189
88,theta_star,2.661938319443531
88,t0,1.4373876181191865
90,alpha,2.0102524368218178
90,beta,1.1583822768804464
90,kappa2,1.2737613218307733
90,kappa3,1.267866797219782
90,w,0.43299959677111355
90,theta_star,3.942007877082256
90,t0,1.3980796318625808
92,alpha,1.6309135955063683
92,beta,1.3242341550376147
92,kappa2,1.0000000051534876
92,kappa3,1.0000000163971652
92,w,0.6465134605033453
92,theta_star,4.1907147006071765
92,t0,1.52239690415907
