participant_id,alpha,beta,kappa2,kappa3,w,theta_star,t0
9,1.152185734710635,0.6860157238347622,2.0467817750390997,2.495393974475048,0.5614893400183992,3.927433639069196,1.2176531621491673
11,0.7459205924278244,0.37300997602955577,0.5589140295429808,1.256010740547494,0.8981792351929364,2.302990156320001,1.3859835872658086
13,0.45166508189340693,0.010000001430505383,0.9449097066548521,0.6257419979631847,0.5934569449416329,2.3092619161790684,1.3525067573451048
15,2.2802810776308227,1.405803159420991,5.958112053676312,0.02420693646349719,0.6019259091806457,3.9984366064115817,1.2051195157364274
19,0.9729338349666697,0.4283837270032165,7.8329401918331865,1.2339096519703379,0.7162708832219632,3.0668639531546815,1.301805280354836
21,0.42008574595737724,0.5978965057830017,1.000000028369949,1.000000035110021,0.8679342083496436,2.9544887629725456,1.3653602801990232
24,0.8673670264246751,0.5578029142040757,1.2563728701990975,1.1154709110255057,0.8313299947776446,3.0335723542349147,1.3361382133182078
26,1.1927318928822814,0.4287989114206357,2.0609794269639616,1.2542205965065003,0.4977404276650388,3.120492108432413,1.253538491915513
32,1.0428152117046152,0.455244235279714,2.649252639682244,2.2610223936525427,0.7070762412430931,3.736349821201697,1.186927363676437
36,0.6613944522946693,0.7627045954229221,1.4195556128389688,0.8475464092024507,0.8894503911001106,3.409193328943149,1.2339477478260867
37,0.9574771064347631,0.5497830713137646,4.0830017249628465,0.8970601029612583,0.7259680120110962,2.7464259743302897,1.337341385509201
41,0.9590853996258845,0.6894635581263837,0.999999986409979,0.754800800509966,0.5616915552298648,2.652640814545704,1.339069614782084
42,1.244294884946718,1.0654069386765346,1.2368292844697002,1.1610678945832822,0.7652455787665342,2.9390469446788186,1.2715630331142818
45,0.8822844454715406,0.8956783752860416,1.1372921910112457,1.1372921985398943,0.8367754692458166,3.2801635238778335,1.4237784441936059
46,1.0244555839667162,0.7850195194676916,1.6621654903027563,0.8480098086714971,0.7177610770525217,2.9225029902573363,1.360135354482672
47,1.242229448895836,0.649593309072984,2.1160048376233043,3.0398387058178105,0.7590419340267626,2.467931880653351,1.3754008180444175
49,1.6771892432860624,1.2006370699645708,2.497871792256013,1.8125828871870058,0.7254108038404453,2.5006819385354864,1.311728345558514
51,1.0540231440033192,0.7968564630861168,1.0000003126432984,0.4924835454518883,0.6264002890506272,2.1767493412435157,1.3714070522938724
55,1.6389186209594804,1.21192848796427,1.0241293913874143,1.0241291611147052,0.5271815077783254,3.579089473199138,1.205172765178977
58,0.6123485313633733,0.785176324328776,1.0311536370900685,1.0311536467808748,0.9109922794469916,2.217527685099145,1.3572397428519538
64,1.0840703702091894,0.4688413617057705,1.1591853160428975,1.098711120276475,0.7040494316158851,3.0010387459546353,1.3414322295641592
67,1.1699352985776912,0.7831037354821597,0.8771382674728381,1.219895376039956,0.7882402820043596,3.697617967303371,1.3120711228381736
69,0.3195393437893603,0.6990464832886923,0.777147599495802,0.48571729117029677,0.9494972631184588,3.005487266109522,1.3503870912634792
86,2.2077394571536773,1.6976963209017077,1.0277061214195184,1.0464367314379772,0.6372165224180905,2.2349027391234126,1.3867158672168258
87,0.8542043399992851,0.24889636049846858,0.8374665249603837,1.2111948772536387,0.9204894810025451,3.1568305927150058,1.2961731883064616
88,0.01000000358685761,0.4050897650481924,0.9999993992338033,0.005748794501921995,0.9365015028855189,2.661938319443531,1.4373876181191865
90,2.0102524368218178,1.1583822768804464,1.2737613218307733,1.267866797219782,0.43299959677111355,3.942007877082256,1.3980796318625808
92,1.6309135955063683,1.3242341550376147,1.0000000051534876,1.0000000163971652,0.6465134605033453,4.1907147006071765,1.52239690415907
