Variable name,Variable description,Type,Values or characteristics
subject_ix,Participant index,integer,Possible values: 1-93
t_l,Delay between smaller-sooner and larger-later option (in days),integer,"Possible values: 0, 2, 4, 8, 16, 32, 64, 128"
ip,"Indifference point (in Euro), estimated by the calibration procedure",double,Possible values: 0-43.52
