participant_id,model,parameterization,bound_settings,algorithm,frame,auc,norm_auc
74,DDM,time_and_value_scaling_t0,wide,DEoptimR,delay,2728.1940723726757,0.48975221025761784
74,DDM,time_and_value_scaling_t0,wide,DEoptimR,date,4135.866826774875,0.7424508176511653
