participant_id,model,parameterization,bound_settings,algorithm,frame,auc,norm_auc
38,DDM,value_scaling_t0,wide,DEoptimR,delay,3044.237233878704,0.546486750681925
38,DDM,value_scaling_t0,wide,DEoptimR,date,3045.627460429811,0.5467363174312476
