subject_ix,stage_id,block_id,block_ix,iter_ix,frame,m_s,m_l,t_s,t_l,trial_type,choice,rt,trial_correct,too_fast,omission_error
3,calibration,i000,0,1,neutral,21.76,43.52,0,2,standard,ll,1.372172040732039,TRUE,TRUE,FALSE
3,calibration,i000,0,1,neutral,32.64,43.52,0,2,standard,ll,1.7269396337501348,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,38.08,43.52,0,2,standard,ll,1.690981629963062,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,40.8,43.52,0,2,standard,ll,1.767222415836386,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.16,43.52,0,2,standard,ll,1.3548177974612372,TRUE,TRUE,FALSE
3,calibration,i000,0,1,neutral,42.839999999999996,43.52,0,2,standard,ll,1.6767489804676643,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,43.18,43.52,0,2,standard,ss,1.8778391483415362,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,21.76,43.52,0,4,standard,ll,1.489071548872289,TRUE,TRUE,FALSE
3,calibration,i000,0,1,neutral,32.64,43.52,0,4,standard,ll,1.8422864092419786,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,38.08,43.52,0,4,standard,ll,1.5190420748101587,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,40.8,43.52,0,4,standard,ll,1.8088036870949509,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.16,43.52,0,4,standard,ll,1.6221294468855376,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.839999999999996,43.52,0,4,standard,ll,1.7181762980637814,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,43.18,43.52,0,4,standard,ll,1.9118781563872744,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,21.76,43.52,0,8,standard,ll,1.7607980028324164,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,32.64,43.52,0,8,standard,ll,1.2385874745718866,TRUE,TRUE,FALSE
3,calibration,i000,0,1,neutral,38.08,43.52,0,8,standard,ll,1.7937681325963695,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,40.8,43.52,0,8,standard,ll,1.9717810864040075,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.16,43.52,0,8,standard,ll,2.263929713562675,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.839999999999996,43.52,0,8,standard,ll,1.7726436374543937,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,43.18,43.52,0,8,standard,ss,1.7613619131029736,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,21.76,43.52,0,16,standard,ll,1.442218024491467,TRUE,TRUE,FALSE
3,calibration,i000,0,1,neutral,32.64,43.52,0,16,standard,ll,1.6862281273706685,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,38.08,43.52,0,16,standard,ll,1.679094061296155,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,40.8,43.52,0,16,standard,ll,1.6464479673352344,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.16,43.52,0,16,standard,ll,2.0055605725624446,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.839999999999996,43.52,0,16,standard,ss,2.2799429471260737,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.49999999999999,43.52,0,16,standard,ss,1.9374145236147342,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,21.76,43.52,0,32,standard,ll,1.841425441715046,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,32.64,43.52,0,32,standard,ll,2.03204206865189,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,38.08,43.52,0,32,standard,ll,1.6335662978790424,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,40.8,43.52,0,32,standard,ll,2.3524533624579362,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.16,43.52,0,32,standard,ll,2.583706425036098,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.839999999999996,43.52,0,32,standard,ss,2.555591847149344,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,42.49999999999999,43.52,0,32,standard,ss,2.1084247851392774,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,21.76,43.52,0,64,standard,ll,1.6126714136273677,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,32.64,43.52,0,64,standard,ll,1.7090446465692821,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,38.08,43.52,0,64,standard,ll,2.813906737811294,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,40.8,43.52,0,64,standard,ss,2.2872300871274547,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,39.44,43.52,0,64,standard,ss,2.9183459696616865,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,38.76,43.52,0,64,standard,ss,3.159728889954522,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,38.419999999999995,43.52,0,64,standard,ss,1.7683569810142217,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,21.76,43.52,0,128,standard,ll,2.837958405246809,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,32.64,43.52,0,128,standard,ss,2.5753339850289194,TRUE,FALSE,FALSE
3,calibration,i000,0,1,neutral,27.2,43.52,0,128,standard,ss,1.861866969087714,TRUE,FALSE,FALSE
